query_id,query,rank,document_id,title,category,hybrid_score,tfidf_score,embedding_score,is_relevant
Q01,Python generators yield iterator,1,2,Understanding Python Generators and Iterators,Python,1.0,0.33274003863334656,0.9435775876045227,True
Q01,Python generators yield iterator,2,5,Mastering Python Decorators and Closures,Python,0.3691973388195038,0.036595556885004044,0.6140660643577576,False
Q01,Python generators yield iterator,3,11,Packaging and Distributing Python Libraries with PyPI,Python,0.3487946093082428,0.047736797481775284,0.5481892824172974,False
Q01,Python generators yield iterator,4,10,Functional Programming Tools in Python,Python,0.3469155430793762,0.039863523095846176,0.5658393502235413,False
Q01,Python generators yield iterator,5,7,Python Type Hints and Static Type Checking with Mypy,Python,0.31070539355278015,0.03553655743598938,0.5131509304046631,False
Q02,FastAPI REST API async openapi,1,73,Building High Performance REST APIs with FastAPI,Web Development,1.0,0.21102772653102875,0.843472421169281,True
Q02,FastAPI REST API async openapi,2,74,RESTful API Design Principles and HTTP Status Codes,Web Development,0.580318033695221,0.09782439470291138,0.5957145094871521,True
Q02,FastAPI REST API async openapi,3,4,Asynchronous Programming with Asyncio in Python,Python,0.5197747945785522,0.05733885243535042,0.6535903215408325,False
Q02,FastAPI REST API async openapi,4,79,Microservices Architecture and API Gateway Routing,Web Development,0.46354612708091736,0.06634888052940369,0.5266931056976318,False
Q02,FastAPI REST API async openapi,5,3,Python Metaclasses and Dynamic Class Creation,Python,0.38377001881599426,0.03793821483850479,0.5063096284866333,False
Q03,Docker containers cgroups namespaces,1,110,Docker Containers and Image Virtualization,Cloud,1.0,0.395822137594223,0.8807311654090881,True
Q03,Docker containers cgroups namespaces,2,59,Morphological Image Transformations: Dilation and Erosion,Computer Vision,0.27904945611953735,0.0,0.4807461202144623,False
Q03,Docker containers cgroups namespaces,3,85,Relational Database Normalization: 1NF to BCNF,Databases,0.2598283886909485,0.0,0.44595038890838623,False
Q03,Docker containers cgroups namespaces,4,111,Kubernetes Cluster Architecture and Container Orchestration,Cloud,0.2487856149673462,0.0,0.4259597361087799,True
Q03,Docker containers cgroups namespaces,5,114,Continuous Integration and Continuous Deployment (CI/CD) Pipelines,Cloud,0.22774896025657654,0.0,0.3878772556781769,False
Q04,YOLO object detection bounding box,1,51,Object Detection with YOLO and Anchor Boxes,Computer Vision,1.0,0.4104749262332916,0.7970965504646301,True
Q04,YOLO object detection bounding box,2,54,Edge Detection and Filtering with OpenCV,Computer Vision,0.47533735632896423,0.0802726075053215,0.6092986464500427,False
Q04,YOLO object detection bounding box,3,106,Endpoint Detection and Response (EDR) Systems,Cybersecurity,0.33425021171569824,0.03368087112903595,0.4799509346485138,False
Q04,YOLO object detection bounding box,4,55,"Visual Feature Descriptors: SIFT, SURF, and ORB",Computer Vision,0.3318350315093994,0.03130003437399864,0.48069465160369873,False
Q04,YOLO object detection bounding box,5,95,Graph Databases: Neo4j and Cypher Query Language,Databases,0.29138457775115967,0.03073994442820549,0.4196997880935669,False
Q05,PostgreSQL JSONB GIN index full-text search,1,88,"PostgreSQL Advanced Features: JSONB, Arrays, and Full-Text Search",Databases,1.0,0.5001657009124756,0.9525921940803528,True
Q05,PostgreSQL JSONB GIN index full-text search,2,94,Vector Databases and Approximate Nearest Neighbor Search,Databases,0.4057009220123291,0.10417131334543228,0.5857451558113098,False
Q05,PostgreSQL JSONB GIN index full-text search,3,61,"Tokenization, Lemmatization, and Text Normalization",NLP,0.3655654788017273,0.07490775734186172,0.5656284689903259,False
Q05,PostgreSQL JSONB GIN index full-text search,4,85,Relational Database Normalization: 1NF to BCNF,Databases,0.27009496092796326,0.033955518156290054,0.46481573581695557,False
Q05,PostgreSQL JSONB GIN index full-text search,5,68,Named Entity Recognition and Information Extraction,NLP,0.2617414593696594,0.03311445191502571,0.4509270191192627,False
Q06,vehicle maintenance services,1,24,Vehicle Maintenance Diagnostics and Sensor Data Analytics,Data Science,1.0,0.3026299476623535,0.8510866165161133,True
Q06,vehicle maintenance services,2,79,Microservices Architecture and API Gateway Routing,Web Development,0.3216353952884674,0.0585993155837059,0.3748971223831177,False
Q06,vehicle maintenance services,3,112,Serverless Computing and AWS Lambda Function Execution,Cloud,0.3104299306869507,0.05501193925738335,0.36576297879219055,False
Q06,vehicle maintenance services,4,111,Kubernetes Cluster Architecture and Container Orchestration,Cloud,0.2996552586555481,0.06332119554281235,0.32336142659187317,False
Q06,vehicle maintenance services,5,20,Automated Feature Engineering for Tabular Datasets,Data Science,0.21983602643013,0.0,0.36627495288848877,False
Q07,how do neural networks learn weights through calculus?,1,37,Neural Network Fundamentals and Forward Propagation,Deep Learning,0.9302892684936523,0.14997875690460205,0.7377043962478638,True
Q07,how do neural networks learn weights through calculus?,2,42,Recurrent Neural Networks and Long Short-Term Memory,Deep Learning,0.8987908363342285,0.16826355457305908,0.6287779808044434,False
Q07,how do neural networks learn weights through calculus?,3,49,Convolutional Neural Networks and Spatial Filtering,Computer Vision,0.8802326321601868,0.1742766797542572,0.5823182463645935,False
Q07,how do neural networks learn weights through calculus?,4,38,Backpropagation and Gradient Descent Optimization,Deep Learning,0.6220341920852661,0.09943599253892899,0.5259068012237549,True
Q07,how do neural networks learn weights through calculus?,5,32,"Regularization Techniques: Ridge, Lasso, and ElasticNet",Machine Learning,0.5592045783996582,0.09135477989912033,0.4744718074798584,False
Q08,protecting web services from malicious vulnerabilities and attacks,1,101,Cross-Site Scripting (XSS) Prevention and Content Security Policy,Cybersecurity,1.0,0.13151922821998596,0.7653997540473938,True
Q08,protecting web services from malicious vulnerabilities and attacks,2,105,DDoS Mitigation and Web Application Firewalls (WAF),Cybersecurity,0.9843332767486572,0.12779444456100464,0.7632371783256531,False
Q08,protecting web services from malicious vulnerabilities and attacks,3,77,"Web Application Security: Mitigating XSS, CSRF, and SQL Injection",Web Development,0.6298843622207642,0.05098959431052208,0.6735580563545227,True
Q08,protecting web services from malicious vulnerabilities and attacks,4,104,Security Information and Event Management (SIEM) and Log Analysis,Cybersecurity,0.6029305458068848,0.03681715577840805,0.7122191786766052,False
Q08,protecting web services from malicious vulnerabilities and attacks,5,83,Progressive Web Apps and Service Worker Offline Storage,Web Development,0.5852268934249878,0.05533589422702789,0.5857125520706177,False
Q09,measuring angle between semantic vector representations,1,64,Cosine Similarity and Semantic Vector Comparison,NLP,1.0,0.3010634183883667,0.8817195892333984,True
Q09,measuring angle between semantic vector representations,2,63,Word2Vec Embeddings: CBOW and Skip-Gram Architectures,NLP,0.48180150985717773,0.1066053956747055,0.5513145327568054,True
Q09,measuring angle between semantic vector representations,3,94,Vector Databases and Approximate Nearest Neighbor Search,Databases,0.44481125473976135,0.08240688592195511,0.5567265748977661,False
Q09,measuring angle between semantic vector representations,4,29,Support Vector Machines and Kernel Transformations,Machine Learning,0.44161978363990784,0.0733402669429779,0.5768070816993713,False
Q09,measuring angle between semantic vector representations,5,52,Image Segmentation with U-Net and Mask R-CNN,Computer Vision,0.3823903501033783,0.06053213030099869,0.5125729441642761,False
Q10,preventing overfitting in deep learning with dropout and regularization,1,41,Dropout Regularization and Preventing Overfitting in Deep Nets,Deep Learning,1.0,0.3421538174152374,0.7758708000183105,True
Q10,preventing overfitting in deep learning with dropout and regularization,2,32,"Regularization Techniques: Ridge, Lasso, and ElasticNet",Machine Learning,0.5490463972091675,0.09290559589862823,0.6614190936088562,True
Q10,preventing overfitting in deep learning with dropout and regularization,3,53,Transfer Learning with Pretrained ResNet and VGG Models,Computer Vision,0.41399523615837097,0.07701245695352554,0.5111392140388489,False
Q10,preventing overfitting in deep learning with dropout and regularization,4,40,Batch Normalization and Layer Normalization,Deep Learning,0.3949572443962097,0.06454985588788986,0.5101379752159119,False
Q10,preventing overfitting in deep learning with dropout and regularization,5,27,Gradient Boosted Decision Trees with XGBoost and LightGBM,Machine Learning,0.388773649930954,0.10060211271047592,0.430635541677475,False
Q11,Python,1,11,Packaging and Distributing Python Libraries with PyPI,Python,1.0,0.16483838856220245,0.7369773387908936,True
Q11,Python,2,6,Object-Oriented Programming and Dunder Methods in Python,Python,0.9154660701751709,0.15261545777320862,0.6700955629348755,True
Q11,Python,3,10,Functional Programming Tools in Python,Python,0.8345528244972229,0.1376514583826065,0.6200336217880249,True
Q11,Python,4,12,High Performance Numerical Computing with Cython,Python,0.8117308616638184,0.13225097954273224,0.6109567880630493,True
Q11,Python,5,5,Mastering Python Decorators and Closures,Python,0.8085727691650391,0.12636692821979523,0.6316587328910828,True
Q12,Kubernetes,1,111,Kubernetes Cluster Architecture and Container Orchestration,Cloud,1.0,0.24319495260715485,0.6765874028205872,True
Q12,Kubernetes,2,114,Continuous Integration and Continuous Deployment (CI/CD) Pipelines,Cloud,0.4387144446372986,0.0,0.5937880277633667,False
Q12,Kubernetes,3,107,Secure Software Development Lifecycle and DevSecOps,Cybersecurity,0.32574373483657837,0.0,0.44115978479385376,False
Q12,Kubernetes,4,110,Docker Containers and Image Virtualization,Cloud,0.31014153361320496,0.0,0.4200805425643921,False
Q12,Kubernetes,5,102,Zero Trust Security Architecture and Identity Verification,Cybersecurity,0.303767591714859,0.0,0.41146910190582275,False
