order_id,customer,product,category,price,quantity,date
1001,Rahul,Laptop,Electronics,55000,1,2026-09-01
1002,Aisha,Mouse,Electronics,1200,2,2026-09-01
1003,Rohan,Keyboard,Electronics,2500,1,2026-09-02
1004,Sneha,Chair,Furniture,7000,2,2026-09-02
1005, Rahul ,Laptop,Electronics,55000,1,2026-09-03
1006,Aisha,Mouse,Electronics,1200,2,2026-09-03
1006,Aisha,Mouse,Electronics,1200,2,2026-09-03
1007,Karan,Desk,Furniture,15000,1,2026-09-03
1008,Priya,Monitor,Electronics,18000,2,2026-09-04
1009,Vikram,Headphones,Accessories,3500,3,2026-09-04
1010,Neha,Webcam,Electronics,4500,1,2026-09-04
1011,Amit,Backpack,Accessories,2200,2,2026-09-05
1012,Ananya,Lamp,Furniture,1800,1,2026-09-05
1013,Siddharth,Laptop,Electronics,55000,2,2026-09-05
1014,Riya,Mouse,Electronics,1200,5,2026-09-06
1015, Arjun ,Chair,Furniture,7000,4,2026-09-06
1016,Pooja,Table,Furniture,12000,1,2026-09-06
1017,Kavya,Keyboard,Electronics,2500,2,2026-09-07
1018,Manish,Monitor,Electronics,18000,1,2026-09-07
1019,Suresh,Headphones,Accessories,3500,1,2026-09-07
1020,Meera,Laptop,Electronics,55000,1,2026-09-08
1021,Rajesh,Desk,Furniture,15000,2,2026-09-08
1022,Shweta,Webcam,Electronics,4500,2,2026-09-08
1023,Dev,Speaker,Accessories,5000,1,2026-09-09
1024,Tarun,Monitor,Electronics,18000,3,2026-09-09
1025,Tanvi,Keyboard,Electronics,2500,3,2026-09-09
1026,Alok,Backpack,Accessories,2200,1,2026-09-10
1027,Deepak,Chair,Furniture,7000,2,2026-09-10
1028,Divya,Mouse,Electronics,1200,10,2026-09-10
1029,Nikhil,Laptop,Electronics,55000,1,2026-09-11
1030,Sakshi,Desk,Furniture,15000,1,2026-09-11
1031,Gaurav,Headphones,Accessories,3500,2,2026-09-11
1032,Varun,Laptop,Electronics,60000,2,2026-09-12
1033,Preeti,Monitor,Electronics,18000,1,2026-09-12
1034,Mayank,Speaker,Accessories,5000,3,2026-09-12
1035,Kiran,Table,Furniture,12000,2,2026-09-13
1036,Aarav,Laptop,Electronics,55000,1,2026-09-13
1037,Ishita,Chair,Furniture,7000,1,2026-09-13
1038,Yash,Mouse,Electronics,1200,4,2026-09-14
1039,Simran,Keyboard,Electronics,2500,2,2026-09-14
1040,Rohit,Desk,Furniture,15000,1,2026-09-14
1041,Swati,Headphones,Accessories,3500,1,2026-09-15
1042,Abhishek,Monitor,Electronics,18000,1,2026-09-15
1043,Nisha,Webcam,Electronics,4500,2,2026-09-15
1044,Bhavya,Chair,Furniture,7000,3,2026-09-15
1045,INVALID_PRICE_ORDER,Laptop,Electronics,-5000,1,2026-09-16
1046,ZERO_QTY_ORDER,Mouse,Electronics,1200,0,2026-09-16
1047,Rahul,Backpack,Accessories,2200,1,2026-09-16
1048,Aisha,Lamp,Furniture,1800,2,2026-09-16
1049,Rohan,Monitor,Electronics,18000,1,2026-09-16
1050,Sneha,Headphones,Accessories,3500,2,2026-09-16
