Trial,Outcome,Cumulative_Heads,Cumulative_Proportion
1,0,0,0.0
101,1,52,0.514851
201,1,101,0.502488
301,1,153,0.508306
401,0,203,0.506234
501,1,249,0.497006
601,1,306,0.509151
701,0,370,0.527817
801,1,435,0.543071
901,1,490,0.54384
1001,1,537,0.536464
1101,1,587,0.533152
1201,0,637,0.530391
1301,1,690,0.530361
1401,1,747,0.533191
1501,0,788,0.524983
1601,1,833,0.5203
1701,0,879,0.516755
1801,1,926,0.514159
1901,1,970,0.510258
2001,1,1018,0.508746
2101,0,1071,0.509757
2201,0,1123,0.510223
2301,0,1168,0.507605
2401,1,1224,0.509788
2501,0,1269,0.507397
2601,0,1318,0.506728
2701,1,1363,0.504628
2801,1,1407,0.502321
2901,1,1450,0.499828
3001,0,1503,0.500833
3101,1,1548,0.499194
3201,0,1602,0.500469
3301,0,1653,0.500757
3401,1,1696,0.498677
3501,0,1741,0.497286
3601,1,1798,0.499306
3701,1,1849,0.499595
3801,1,1900,0.499868
3901,0,1957,0.501666
4001,1,2002,0.500375
4101,0,2059,0.502073
4201,1,2111,0.502499
4301,1,2165,0.503371
4401,1,2213,0.50284
4501,1,2274,0.505221
4601,1,2325,0.505325
4701,1,2373,0.504786
4801,0,2421,0.50427
4901,1,2479,0.505815
5001,1,2532,0.506299
5101,0,2580,0.505783
5201,1,2639,0.507402
5301,0,2696,0.508583
5401,0,2755,0.510091
5501,1,2810,0.510816
5601,0,2866,0.511694
5701,0,2915,0.511314
5801,1,2966,0.511291
5901,1,3013,0.510591
6001,0,3065,0.510748
6101,0,3126,0.512375
6201,0,3178,0.512498
6301,0,3219,0.510871
6401,0,3269,0.510701
6501,1,3314,0.509768
6601,1,3365,0.509771
6701,0,3411,0.509029
6801,1,3465,0.509484
6901,0,3517,0.509636
7001,1,3566,0.509356
7101,0,3610,0.508379
7201,1,3660,0.508263
7301,0,3716,0.508971
7401,1,3761,0.508175
7501,1,3800,0.506599
7601,1,3853,0.506907
7701,1,3904,0.506947
7801,0,3944,0.505576
7901,0,3991,0.505126
8001,0,4029,0.503562
8101,1,4084,0.504135
8201,1,4139,0.504695
8301,0,4190,0.504758
8401,0,4253,0.506249
8501,0,4308,0.506764
8601,0,4357,0.506569
8701,1,4398,0.505459
8801,0,4448,0.505397
8901,1,4505,0.506123
9001,1,4554,0.505944
9101,1,4605,0.505988
9201,0,4653,0.505706
9301,0,4706,0.505967
9401,0,4754,0.505691
9501,1,4809,0.506157
9601,1,4869,0.507135
9701,0,4919,0.507061
9801,1,4963,0.506377
9901,0,5016,0.506615
10001,1,5066,0.506549
10101,1,5114,0.506287
10201,0,5156,0.505441
10301,1,5207,0.505485
10401,1,5258,0.505528
10501,1,5314,0.506047
10601,1,5360,0.505613
10701,0,5410,0.50556
10801,1,5454,0.504953
10901,0,5505,0.505
11001,0,5549,0.504409
11101,0,5598,0.504279
11201,0,5649,0.50433
11301,0,5697,0.504115
11401,0,5754,0.504693
11501,1,5799,0.504217
11601,0,5849,0.504181
11701,1,5906,0.504743
11801,0,5961,0.505127
11901,0,6004,0.504495
12001,1,6057,0.504708
12101,0,6119,0.505661
12201,0,6160,0.504877
12301,0,6212,0.505
12401,1,6263,0.50504
12501,1,6314,0.50508
12601,0,6366,0.505198
12701,0,6400,0.503897
12801,1,6443,0.50332
12901,1,6493,0.503294
13001,1,6545,0.503423
13101,0,6597,0.503549
13201,0,6641,0.503068
13301,1,6695,0.503346
13401,1,6745,0.503321
13501,1,6795,0.503296
13601,1,6845,0.503272
13701,1,6900,0.503613
13801,1,6953,0.503804
13901,0,7005,0.503921
14001,0,7062,0.504393
14101,0,7109,0.504149
14201,0,7158,0.504049
14301,0,7200,0.503461
14401,0,7236,0.502465
14501,1,7287,0.502517
14601,0,7327,0.501815
14701,1,7378,0.501871
14801,0,7428,0.501858
14901,1,7472,0.501443
15001,0,7518,0.501167
15101,0,7574,0.501556
15201,0,7623,0.50148
15301,0,7678,0.501797
15401,0,7720,0.501266
15501,1,7770,0.501258
15601,0,7819,0.501186
15701,0,7863,0.500796
15801,0,7910,0.500601
15901,0,7967,0.501038
16001,1,8025,0.501531
16101,0,8070,0.501211
16201,1,8120,0.501204
16301,0,8165,0.50089
16401,0,8204,0.500213
16501,1,8256,0.500333
16601,1,8304,0.500211
16701,1,8356,0.500329
16801,1,8411,0.500625
16901,0,8466,0.500917
17001,1,8508,0.500441
17101,1,8562,0.500672
17201,0,8609,0.500494
17301,0,8654,0.500202
17401,0,8698,0.499856
17501,1,8745,0.499686
17601,0,8797,0.499801
17701,1,8849,0.499915
17801,0,8899,0.499916
17901,1,8949,0.499916
18001,1,9004,0.500194
18101,1,9052,0.500083
18201,0,9106,0.500302
18301,0,9153,0.500137
18401,1,9212,0.500625
18501,0,9260,0.500513
18601,0,9310,0.500511
18701,1,9362,0.500615
18801,0,9408,0.500399
18901,1,9460,0.500503
19001,1,9511,0.500553
19101,1,9564,0.500707
19201,1,9618,0.500911
19301,0,9666,0.500803
19401,0,9714,0.500696
19501,1,9755,0.500231
19601,1,9808,0.500383
19701,1,9861,0.500533
19801,0,9911,0.50053
19901,1,9959,0.500427
20001,0,10010,0.500475
20101,0,10056,0.500274
20201,0,10108,0.500371
20301,0,10154,0.500172
20401,1,10212,0.500564
20501,0,10253,0.500122
20601,0,10305,0.500218
20701,0,10354,0.500169
20801,1,10407,0.500312
20901,1,10456,0.500263
21001,1,10511,0.5005
21101,0,10554,0.500166
21201,1,10594,0.499693
21301,1,10650,0.499977
21401,1,10701,0.500023
21501,1,10754,0.500163
21601,1,10798,0.499884
21701,1,10853,0.500115
21801,1,10908,0.500344
21901,1,10960,0.500434
22001,1,11012,0.500523
22101,1,11062,0.50052
22201,0,11114,0.500608
22301,0,11160,0.500426
22401,1,11219,0.500826
22501,1,11263,0.500556
22601,0,11307,0.500288
22701,0,11358,0.50033
22801,1,11401,0.500022
22901,0,11441,0.499585
23001,0,11485,0.499326
23101,0,11533,0.499242
23201,1,11589,0.499504
23301,1,11639,0.499506
23401,0,11688,0.499466
23501,1,11731,0.49917
23601,1,11785,0.499343
23701,1,11834,0.499304
23801,0,11882,0.499223
23901,1,11926,0.498975
24001,0,11977,0.499021
24101,1,12029,0.499108
24201,0,12075,0.498946
24301,1,12129,0.499115
24401,0,12170,0.49875
24501,1,12213,0.498469
24601,1,12259,0.498313
24701,1,12304,0.498117
24801,0,12355,0.498165
24901,0,12399,0.497932
25001,0,12442,0.49766
25101,0,12488,0.49751
25201,0,12552,0.498075
25301,0,12598,0.497925
25401,1,12645,0.497815
25501,0,12699,0.49798
25601,0,12754,0.498184
25701,1,12797,0.497918
25801,1,12851,0.498081
25901,1,12899,0.498012
26001,0,12947,0.497942
26101,1,12999,0.498027
26201,1,13038,0.497615
26301,1,13087,0.497586
26401,1,13148,0.498011
26501,0,13196,0.497943
26601,1,13250,0.498102
26701,1,13301,0.498146
26801,0,13348,0.498041
26901,1,13400,0.498123
27001,0,13449,0.498093
27101,0,13504,0.498284
27201,0,13548,0.49807
27301,0,13592,0.497857
27401,0,13642,0.497865
27501,1,13691,0.497836
27601,0,13727,0.497337
27701,1,13788,0.497744
27801,1,13844,0.497968
27901,1,13903,0.498298
28001,0,13957,0.498446
28101,0,14009,0.498523
28201,1,14053,0.498316
28301,0,14105,0.498392
28401,0,14151,0.498257
28501,1,14191,0.497912
28601,0,14239,0.49785
28701,0,14284,0.497683
28801,0,14341,0.497934
28901,1,14394,0.498045
29001,0,14438,0.497845
29101,0,14481,0.497612
29201,1,14529,0.497551
29301,1,14589,0.497901
29401,0,14634,0.497738
29501,1,14685,0.49778
29601,1,14745,0.498125
29701,1,14796,0.498165
29801,1,14853,0.498406
29901,0,14899,0.498278
30001,0,14949,0.498283
30101,1,14997,0.498223
30201,0,15045,0.498162
30301,0,15083,0.497772
30401,1,15135,0.497845
30501,0,15184,0.49782
30601,0,15230,0.497696
30701,0,15272,0.497443
30801,1,15321,0.497419
30901,1,15371,0.497427
31001,0,15413,0.497178
31101,0,15457,0.496994
31201,1,15502,0.496843
31301,0,15548,0.496725
31401,0,15601,0.496831
31501,0,15648,0.496746
31601,1,15702,0.496883
31701,1,15752,0.496893
31801,1,15803,0.496934
31901,1,15851,0.496881
32001,0,15898,0.496797
32101,0,15944,0.496682
32201,1,15993,0.496662
32301,1,16034,0.496393
32401,0,16084,0.496404
32501,1,16127,0.4962
32601,0,16173,0.496089
32701,0,16224,0.496132
32801,1,16277,0.496235
32901,1,16330,0.496337
33001,1,16375,0.496197
33101,1,16438,0.496601
33201,0,16484,0.496491
33301,1,16537,0.496592
33401,1,16592,0.496752
33501,1,16640,0.496702
33601,0,16692,0.496771
33701,1,16739,0.496691
33801,1,16796,0.496908
