order_id,order_value,category,customer_type
ORD-10000,72.45,Fitness,New
ORD-10001,32.33,Electronics,Returning
ORD-10002,94.66,Fitness,Returning
ORD-10003,106.1,Electronics,VIP
ORD-10004,18.72,Fashion,VIP
ORD-10005,27.62,Fashion,Returning
ORD-10006,65.15,Fashion,Returning
ORD-10007,49.91,Electronics,New
ORD-10008,59.74,Electronics,New
ORD-10009,36.17,Fashion,Returning
ORD-10010,102.27,Fashion,Returning
ORD-10011,96.22,Fitness,New
ORD-10012,62.78,Electronics,New
ORD-10013,118.67,Fashion,Returning
ORD-10014,79.88,Electronics,New
ORD-10015,36.03,Books,New
ORD-10016,75.28,Fitness,Returning
ORD-10017,33.94,Books,VIP
ORD-10018,102.21,Books,New
ORD-10019,58.56,Fashion,New
ORD-10020,54.01,Home & Kitchen,New
ORD-10021,40.1,Fashion,New
ORD-10022,125.65,Fitness,Returning
ORD-10023,55.0,Fashion,New
ORD-10024,46.67,Fashion,New
ORD-10025,48.85,Books,VIP
ORD-10026,83.05,Fitness,Returning
ORD-10027,75.13,Books,New
ORD-10028,77.3,Electronics,New
ORD-10029,78.14,Electronics,Returning
ORD-10030,218.11,Fashion,Returning
ORD-10031,47.28,Fashion,VIP
ORD-10032,44.37,Fashion,New
ORD-10033,37.03,Fashion,Returning
ORD-10034,87.32,Fitness,New
ORD-10035,118.79,Electronics,New
ORD-10036,56.35,Home & Kitchen,Returning
ORD-10037,36.45,Fitness,Returning
ORD-10038,36.79,Home & Kitchen,New
ORD-10039,89.15,Fashion,New
ORD-10040,94.25,Electronics,Returning
ORD-10041,83.59,Electronics,New
ORD-10042,40.48,Home & Kitchen,New
ORD-10043,69.36,Fashion,New
ORD-10044,64.72,Electronics,New
ORD-10045,68.8,Books,Returning
ORD-10046,101.78,Home & Kitchen,New
ORD-10047,69.0,Fitness,Returning
ORD-10048,90.68,Fashion,Returning
ORD-10049,62.84,Books,New
ORD-10050,71.77,Electronics,Returning
ORD-10051,88.13,Electronics,New
ORD-10052,25.17,Fitness,Returning
ORD-10053,49.81,Fitness,Returning
ORD-10054,45.5,Fashion,Returning
ORD-10055,41.13,Electronics,New
ORD-10056,51.16,Fashion,Returning
ORD-10057,147.96,Fitness,Returning
ORD-10058,35.89,Fitness,New
ORD-10059,107.87,Fashion,New
ORD-10060,21.98,Electronics,New
ORD-10061,49.36,Home & Kitchen,New
ORD-10062,66.53,Home & Kitchen,New
ORD-10063,85.78,Fashion,VIP
ORD-10064,92.46,Home & Kitchen,VIP
ORD-10065,97.13,Books,New
ORD-10066,48.95,Electronics,VIP
ORD-10067,45.72,Home & Kitchen,Returning
ORD-10068,100.97,Home & Kitchen,Returning
ORD-10069,53.8,Fashion,VIP
ORD-10070,28.07,Fitness,Returning
ORD-10071,30.57,Home & Kitchen,Returning
ORD-10072,34.76,Fashion,New
ORD-10073,81.31,Electronics,New
ORD-10074,65.72,Home & Kitchen,VIP
ORD-10075,91.31,Electronics,New
ORD-10076,46.7,Electronics,New
ORD-10077,66.36,Fashion,New
ORD-10078,87.83,Home & Kitchen,Returning
ORD-10079,50.12,Books,New
ORD-10080,79.37,Home & Kitchen,VIP
ORD-10081,40.56,Fitness,New
ORD-10082,48.53,Fashion,VIP
ORD-10083,47.99,Fashion,Returning
ORD-10084,29.44,Books,Returning
ORD-10085,80.82,Fashion,New
ORD-10086,45.53,Fitness,New
ORD-10087,60.79,Fashion,VIP
ORD-10088,80.52,Electronics,Returning
ORD-10089,78.88,Home & Kitchen,New
ORD-10090,89.95,Electronics,VIP
ORD-10091,56.88,Electronics,Returning
ORD-10092,46.81,Electronics,New
ORD-10093,57.52,Electronics,Returning
ORD-10094,21.92,Fashion,Returning
ORD-10095,25.32,Fitness,Returning
ORD-10096,27.29,Fashion,New
ORD-10097,33.17,Fitness,New
ORD-10098,76.7,Home & Kitchen,New
ORD-10099,35.05,Electronics,New
ORD-10100,48.09,Electronics,New
ORD-10101,131.57,Books,Returning
ORD-10102,48.73,Home & Kitchen,Returning
ORD-10103,93.93,Books,New
ORD-10104,34.46,Fashion,Returning
