order_id,customer_id,order_value,items_count,satisfaction_rating,is_repeat_customer
ORD-10000,CUST-1423,2629.53,7,4,True
ORD-10001,CUST-1265,2963.98,6,4,False
ORD-10002,CUST-1102,1315.98,2,5,True
ORD-10003,CUST-1296,2504.12,5,2,True
ORD-10004,CUST-1072,2404.58,4,3,False
ORD-10005,CUST-1010,3065.76,5,3,True
ORD-10006,CUST-1316,2461.26,5,5,True
ORD-10007,CUST-1257,2748.59,5,5,True
ORD-10008,CUST-1378,2675.94,4,4,True
ORD-10009,CUST-1172,3065.01,5,1,False
ORD-10010,CUST-1427,2292.28,4,3,True
ORD-10011,CUST-1210,3347.91,1,4,False
ORD-10012,CUST-1369,2135.88,1,4,True
ORD-10013,CUST-1050,2796.97,7,5,False
ORD-10014,CUST-1048,2708.14,7,5,True
ORD-10015,CUST-1391,4187.75,5,4,False
ORD-10016,CUST-1416,2083.67,2,5,True
ORD-10017,CUST-1471,2860.26,6,5,True
ORD-10018,CUST-1162,2339.23,2,4,True
ORD-10019,CUST-1011,1896.88,3,4,True
ORD-10020,CUST-1489,2958.37,3,5,True
ORD-10021,CUST-1300,1702.94,1,3,False
ORD-10022,CUST-1123,1990.52,6,5,False
ORD-10023,CUST-1381,2496.35,4,2,False
ORD-10024,CUST-1451,3059.41,3,4,True
ORD-10025,CUST-1142,2908.5,4,5,True
ORD-10026,CUST-1384,2618.31,1,4,False
ORD-10027,CUST-1393,1553.3,4,4,False
ORD-10028,CUST-1250,2109.62,4,4,True
ORD-10029,CUST-1316,2233.43,3,3,False
ORD-10030,CUST-1134,1873.01,6,3,True
ORD-10031,CUST-1464,1441.58,2,3,False
ORD-10032,CUST-1491,2528.55,1,4,False
ORD-10033,CUST-1490,2933.47,4,4,False
ORD-10034,CUST-1368,2186.21,7,3,True
ORD-10035,CUST-1021,3048.7,3,5,True
ORD-10036,CUST-1183,1647.19,1,4,True
ORD-10037,CUST-1222,1842.36,7,4,False
ORD-10038,CUST-1479,2514.31,4,4,True
ORD-10039,CUST-1273,2136.56,2,3,False
ORD-10040,CUST-1268,2867.59,5,5,False
ORD-10041,CUST-1073,2740.63,3,4,True
ORD-10042,CUST-1396,2177.09,7,1,True
ORD-10043,CUST-1168,1689.68,3,5,False
ORD-10044,CUST-1045,2110.22,4,5,True
ORD-10045,CUST-1493,2758.43,4,5,True
ORD-10046,CUST-1095,2898.08,2,5,True
ORD-10047,CUST-1008,2139.04,4,5,True
ORD-10048,CUST-1038,1439.43,1,4,False
ORD-10049,CUST-1226,1622.52,5,4,True
ORD-10050,CUST-1051,2698.63,6,4,True
ORD-10051,CUST-1421,2167.51,7,3,True
ORD-10052,CUST-1256,2181.41,3,3,True
ORD-10053,CUST-1161,1834.32,2,2,True
ORD-10054,CUST-1001,1825.04,4,4,False
ORD-10055,CUST-1239,3034.67,5,5,True
ORD-10056,CUST-1075,2724.11,7,5,True
ORD-10057,CUST-1489,2033.54,1,4,False
ORD-10058,CUST-1145,2465.46,2,3,True
ORD-10059,CUST-1237,2577.96,2,4,True
ORD-10060,CUST-1009,3679.3,2,4,True
ORD-10061,CUST-1065,1783.85,4,5,True
ORD-10062,CUST-1103,2568.95,7,5,True
ORD-10063,CUST-1025,3030.55,1,5,False
ORD-10064,CUST-1362,3555.88,6,5,False
ORD-10065,CUST-1472,2005.98,5,5,True
ORD-10066,CUST-1492,2160.14,5,4,True
ORD-10067,CUST-1132,2874.9,5,1,True
ORD-10068,CUST-1394,1546.39,1,2,True
ORD-10069,CUST-1252,2635.88,6,4,True
ORD-10070,CUST-1022,4046.95,2,3,False
ORD-10071,CUST-1045,2709.37,4,3,False
ORD-10072,CUST-1273,1235.46,5,5,True
ORD-10073,CUST-1211,1903.58,5,3,False
ORD-10074,CUST-1004,2022.66,3,5,True
ORD-10075,CUST-1465,3217.13,3,5,True
ORD-10076,CUST-1365,2309.57,4,4,False
ORD-10077,CUST-1251,1445.54,1,4,True
ORD-10078,CUST-1493,2379.56,6,4,False
ORD-10079,CUST-1485,2505.82,1,4,False
ORD-10080,CUST-1486,2091.67,4,3,False
ORD-10081,CUST-1129,1816.53,5,5,True
ORD-10082,CUST-1440,4174.82,1,4,True
ORD-10083,CUST-1252,3033.22,7,3,False
ORD-10084,CUST-1363,3107.6,3,5,False
ORD-10085,CUST-1429,2310.89,1,4,True
ORD-10086,CUST-1081,1996.95,5,4,False
ORD-10087,CUST-1224,2119.2,4,4,True
ORD-10088,CUST-1064,1646.01,5,3,True
ORD-10089,CUST-1139,3658.89,6,4,False
ORD-10090,CUST-1206,2336.11,4,3,True
ORD-10091,CUST-1427,3419.06,6,3,True
ORD-10092,CUST-1431,2146.82,3,3,False
ORD-10093,CUST-1194,2719.93,4,4,False
ORD-10094,CUST-1164,2542.96,2,4,False
ORD-10095,CUST-1265,1598.89,5,4,True
ORD-10096,CUST-1455,3790.28,2,3,False
ORD-10097,CUST-1488,2164.33,5,3,True
ORD-10098,CUST-1113,1737.77,6,4,True
ORD-10099,CUST-1093,2881.16,7,2,True
ORD-10100,CUST-1353,2412.52,7,4,False
ORD-10101,CUST-1150,2653.28,1,5,False
ORD-10102,CUST-1099,2478.23,1,4,False
ORD-10103,CUST-1015,1271.46,7,5,True
ORD-10104,CUST-1201,1886.03,3,2,True
ORD-10105,CUST-1195,1865.94,1,1,True
ORD-10106,CUST-1281,3095.0,3,5,True
ORD-10107,CUST-1100,2436.93,6,5,True
ORD-10108,CUST-1357,2764.21,3,5,True
ORD-10109,CUST-1340,2199.65,1,2,False
ORD-10110,CUST-1231,2801.33,6,5,False
ORD-10111,CUST-1090,2312.3,2,4,False
ORD-10112,CUST-1253,2266.74,3,4,True
ORD-10113,CUST-1337,2538.27,1,3,True
ORD-10114,CUST-1186,2478.16,5,5,True
ORD-10115,CUST-1131,4568.05,4,2,True
ORD-10116,CUST-1253,1880.26,7,5,True
ORD-10117,CUST-1177,1550.11,3,4,True
ORD-10118,CUST-1200,2637.38,2,5,True
ORD-10119,CUST-1174,1952.71,2,5,False
ORD-10120,CUST-1151,1228.83,2,5,True
ORD-10121,CUST-1358,1762.29,4,3,True
ORD-10122,CUST-1230,4256.32,1,1,True
ORD-10123,CUST-1233,1866.68,3,4,True
ORD-10124,CUST-1326,1405.75,6,4,True
ORD-10125,CUST-1180,4175.58,6,2,True
ORD-10126,CUST-1050,1743.39,5,3,True
ORD-10127,CUST-1426,4983.67,7,4,True
ORD-10128,CUST-1027,2173.79,6,2,False
ORD-10129,CUST-1285,3794.91,5,2,True
ORD-10130,CUST-1132,2252.78,7,5,True
ORD-10131,CUST-1106,2724.36,1,4,True
ORD-10132,CUST-1020,2326.01,6,5,True
ORD-10133,CUST-1450,2257.41,3,5,True
ORD-10134,CUST-1214,2577.6,6,3,False
ORD-10135,CUST-1171,2751.58,7,5,True
ORD-10136,CUST-1370,2523.42,4,4,True
ORD-10137,CUST-1019,2452.39,1,4,True
ORD-10138,CUST-1282,1957.16,3,2,True
ORD-10139,CUST-1247,2350.36,3,3,True
ORD-10140,CUST-1276,3653.74,7,2,True
ORD-10141,CUST-1061,1932.71,7,4,True
ORD-10142,CUST-1476,2598.27,4,5,False
ORD-10143,CUST-1119,3321.4,7,4,False
ORD-10144,CUST-1339,2757.98,4,5,False
ORD-10145,CUST-1373,3104.27,3,5,True
ORD-10146,CUST-1171,1735.92,6,4,False
ORD-10147,CUST-1065,2600.1,5,1,True
ORD-10148,CUST-1148,2222.44,4,5,True
