session_id,converted,variant,device,visit_duration_seconds
SESS-10000,0,Variant_B,Desktop,211.6
SESS-10001,0,Variant_B,Mobile,62.7
SESS-10002,0,Variant_B,Mobile,43.1
SESS-10003,1,Variant_B,Desktop,25.6
SESS-10004,0,Control,Desktop,90.4
SESS-10005,0,Variant_B,Mobile,94.0
SESS-10006,0,Variant_B,Mobile,235.6
SESS-10007,0,Control,Mobile,45.0
SESS-10008,0,Variant_B,Mobile,72.6
SESS-10009,0,Variant_B,Desktop,213.3
SESS-10010,0,Variant_B,Mobile,223.2
SESS-10011,0,Variant_B,Mobile,73.3
SESS-10012,0,Variant_B,Mobile,88.7
SESS-10013,0,Variant_B,Desktop,58.4
SESS-10014,1,Control,Tablet,338.6
SESS-10015,0,Control,Mobile,30.2
SESS-10016,0,Variant_B,Desktop,340.7
SESS-10017,0,Control,Mobile,153.2
SESS-10018,0,Control,Mobile,106.0
SESS-10019,0,Control,Desktop,19.0
SESS-10020,0,Control,Desktop,92.5
SESS-10021,1,Variant_B,Tablet,77.9
SESS-10022,0,Variant_B,Mobile,36.1
SESS-10023,0,Control,Mobile,143.2
SESS-10024,0,Control,Desktop,440.5
SESS-10025,1,Control,Mobile,114.1
SESS-10026,0,Variant_B,Mobile,165.5
SESS-10027,0,Variant_B,Mobile,23.5
SESS-10028,0,Control,Desktop,79.9
SESS-10029,0,Variant_B,Mobile,29.8
SESS-10030,0,Variant_B,Mobile,128.9
SESS-10031,1,Variant_B,Desktop,349.6
SESS-10032,0,Variant_B,Mobile,145.1
SESS-10033,0,Control,Mobile,24.6
SESS-10034,0,Variant_B,Mobile,67.6
SESS-10035,0,Control,Mobile,111.0
SESS-10036,0,Variant_B,Mobile,76.9
SESS-10037,0,Variant_B,Mobile,230.2
SESS-10038,0,Variant_B,Desktop,217.3
SESS-10039,0,Variant_B,Mobile,128.6
SESS-10040,0,Control,Tablet,71.1
SESS-10041,0,Variant_B,Mobile,50.4
SESS-10042,0,Variant_B,Mobile,28.4
SESS-10043,0,Variant_B,Mobile,67.6
SESS-10044,0,Control,Mobile,79.0
SESS-10045,0,Control,Desktop,150.2
SESS-10046,0,Control,Mobile,143.8
SESS-10047,1,Variant_B,Mobile,23.7
SESS-10048,0,Variant_B,Desktop,75.4
SESS-10049,0,Control,Tablet,39.1
SESS-10050,0,Variant_B,Desktop,35.5
SESS-10051,0,Variant_B,Mobile,225.7
SESS-10052,0,Variant_B,Desktop,20.1
SESS-10053,0,Variant_B,Mobile,80.2
SESS-10054,0,Variant_B,Mobile,37.1
SESS-10055,0,Variant_B,Mobile,268.8
SESS-10056,0,Control,Mobile,112.7
SESS-10057,0,Variant_B,Mobile,46.6
SESS-10058,0,Variant_B,Mobile,98.8
SESS-10059,0,Variant_B,Desktop,172.8
SESS-10060,0,Variant_B,Mobile,395.7
SESS-10061,0,Variant_B,Mobile,44.9
SESS-10062,0,Control,Mobile,275.8
SESS-10063,0,Control,Tablet,341.7
SESS-10064,0,Control,Mobile,312.8
SESS-10065,0,Control,Mobile,136.1
SESS-10066,0,Variant_B,Desktop,134.3
SESS-10067,0,Variant_B,Desktop,76.9
SESS-10068,0,Control,Mobile,182.5
SESS-10069,0,Control,Desktop,105.9
SESS-10070,0,Variant_B,Desktop,150.8
SESS-10071,0,Control,Desktop,82.1
SESS-10072,0,Variant_B,Mobile,172.8
SESS-10073,0,Variant_B,Desktop,223.8
SESS-10074,0,Variant_B,Mobile,34.0
SESS-10075,1,Control,Mobile,229.7
SESS-10076,0,Control,Mobile,108.3
SESS-10077,0,Variant_B,Mobile,238.5
SESS-10078,0,Variant_B,Mobile,82.7
SESS-10079,0,Control,Desktop,72.2
SESS-10080,0,Variant_B,Mobile,310.9
SESS-10081,0,Control,Mobile,49.7
SESS-10082,0,Variant_B,Mobile,238.1
SESS-10083,1,Control,Mobile,94.4
SESS-10084,0,Variant_B,Tablet,101.6
SESS-10085,0,Control,Mobile,59.3
SESS-10086,0,Control,Mobile,117.1
SESS-10087,0,Control,Mobile,62.2
SESS-10088,0,Control,Mobile,19.8
SESS-10089,0,Variant_B,Mobile,53.1
SESS-10090,0,Variant_B,Desktop,15.8
SESS-10091,0,Control,Tablet,475.0
SESS-10092,0,Control,Mobile,419.9
SESS-10093,0,Variant_B,Desktop,75.3
SESS-10094,0,Variant_B,Desktop,171.4
SESS-10095,1,Variant_B,Desktop,65.9
SESS-10096,0,Control,Mobile,148.4
SESS-10097,0,Control,Mobile,211.4
SESS-10098,0,Variant_B,Mobile,366.9
SESS-10099,0,Control,Desktop,76.3
SESS-10100,1,Variant_B,Desktop,198.5
SESS-10101,0,Control,Mobile,52.1
SESS-10102,0,Variant_B,Mobile,571.7
SESS-10103,0,Control,Desktop,18.1
SESS-10104,0,Variant_B,Desktop,126.0
SESS-10105,0,Control,Tablet,144.3
