order_id,order_total_usd,customer_segment,discount_applied,items_count
ORD-7000,118.97,Standard,0,6
ORD-7001,164.99,Platinum,0,5
ORD-7002,143.56,Standard,0,3
ORD-7003,171.46,Gold,1,2
ORD-7004,85.71,Standard,0,1
ORD-7005,124.42,Gold,0,2
ORD-7006,79.32,Standard,1,8
ORD-7007,118.86,Platinum,0,1
ORD-7008,118.31,Platinum,0,5
ORD-7009,143.26,Standard,0,2
ORD-7010,126.7,Standard,0,7
ORD-7011,143.17,Standard,1,8
ORD-7012,145.45,Gold,0,7
ORD-7013,186.82,Gold,0,5
ORD-7014,116.41,Standard,0,3
ORD-7015,98.58,Gold,1,1
ORD-7016,132.41,Standard,1,7
ORD-7017,102.54,Gold,0,6
ORD-7018,167.64,Platinum,0,3
ORD-7019,117.33,Standard,0,1
ORD-7020,109.28,Standard,1,8
ORD-7021,111.97,Standard,0,8
ORD-7022,145.87,Standard,1,8
ORD-7023,120.9,Standard,0,5
ORD-7024,107.11,Standard,0,7
ORD-7025,172.86,Standard,0,8
ORD-7026,101.0,Standard,1,4
ORD-7027,126.41,Standard,0,8
ORD-7028,143.99,Standard,1,2
ORD-7029,78.91,Standard,0,5
ORD-7030,139.09,Gold,0,1
ORD-7031,95.33,Gold,0,1
ORD-7032,148.85,Standard,1,1
ORD-7033,97.96,Standard,0,1
ORD-7034,145.14,Gold,1,2
ORD-7035,156.92,Platinum,1,3
ORD-7036,149.95,Standard,1,6
ORD-7037,132.56,Standard,0,4
ORD-7038,118.81,Standard,1,2
ORD-7039,108.97,Standard,1,1
ORD-7040,167.32,Standard,0,2
ORD-7041,105.46,Standard,0,5
ORD-7042,95.84,Gold,0,6
ORD-7043,144.36,Standard,0,1
ORD-7044,102.71,Standard,0,4
ORD-7045,98.32,Standard,0,1
ORD-7046,84.26,Standard,0,6
ORD-7047,111.64,Standard,0,4
ORD-7048,123.04,Standard,0,6
ORD-7049,132.33,Gold,0,4
ORD-7050,152.51,Standard,0,3
ORD-7051,140.42,Gold,0,7
ORD-7052,119.96,Platinum,0,3
ORD-7053,119.75,Standard,0,2
ORD-7054,139.94,Standard,0,2
ORD-7055,161.67,Standard,1,8
ORD-7056,129.0,Gold,0,4
ORD-7057,112.03,Platinum,1,8
ORD-7058,97.1,Gold,0,8
ORD-7059,84.21,Standard,0,1
ORD-7060,144.39,Gold,0,7
ORD-7061,141.87,Standard,0,5
ORD-7062,141.85,Standard,1,5
ORD-7063,121.73,Standard,0,1
ORD-7064,165.5,Standard,0,1
ORD-7065,111.6,Gold,0,3
ORD-7066,152.63,Standard,0,5
ORD-7067,124.3,Standard,1,4
ORD-7068,108.06,Standard,1,6
ORD-7069,142.29,Gold,0,8
ORD-7070,137.07,Gold,0,2
ORD-7071,135.57,Standard,0,8
ORD-7072,127.72,Standard,1,8
ORD-7073,124.32,Standard,0,6
ORD-7074,193.47,Platinum,0,3
ORD-7075,159.15,Standard,1,5
ORD-7076,146.0,Standard,0,8
ORD-7077,128.59,Standard,0,7
ORD-7078,154.1,Standard,1,1
ORD-7079,140.16,Gold,0,7
ORD-7080,126.15,Standard,0,7
ORD-7081,116.75,Standard,0,5
ORD-7082,123.09,Standard,0,4
ORD-7083,35.04,Standard,0,3
ORD-7084,131.4,Platinum,1,8
ORD-7085,111.48,Standard,0,8
ORD-7086,170.79,Gold,1,8
ORD-7087,125.95,Gold,1,1
ORD-7088,91.51,Standard,0,6
ORD-7089,123.98,Standard,0,4
ORD-7090,95.59,Standard,0,6
ORD-7091,138.89,Gold,1,2
ORD-7092,133.69,Standard,1,3
ORD-7093,152.7,Standard,0,4
ORD-7094,102.86,Standard,1,4
ORD-7095,126.37,Gold,0,8
