order_id,delivery_time_minutes,vehicle_type,weather,on_time
DEL-1000,34.53,Motorcycle,Clear,0
DEL-1001,31.04,Scooter,Clear,0
DEL-1002,35.36,Bicycle,Fog,0
DEL-1003,40.18,Motorcycle,Fog,0
DEL-1004,30.51,Motorcycle,Clear,0
DEL-1005,30.51,Motorcycle,Fog,0
DEL-1006,40.49,Scooter,Clear,0
DEL-1007,36.02,Scooter,Clear,0
DEL-1008,29.22,Scooter,Clear,1
DEL-1009,34.78,Motorcycle,Windy,0
DEL-1010,29.25,Scooter,Clear,1
DEL-1011,29.24,Scooter,Clear,1
DEL-1012,33.13,Scooter,Clear,0
DEL-1013,21.28,Scooter,Clear,1
DEL-1014,22.31,Van,Clear,1
DEL-1015,28.71,Motorcycle,Clear,1
DEL-1016,26.23,Motorcycle,Clear,1
DEL-1017,33.53,Scooter,Clear,0
DEL-1018,26.81,Motorcycle,Clear,1
DEL-1019,24.03,Motorcycle,Clear,1
DEL-1020,39.86,Scooter,Clear,0
DEL-1021,30.56,Scooter,Clear,0
DEL-1022,32.17,Scooter,Fog,0
DEL-1023,23.96,Motorcycle,Clear,1
DEL-1024,28.81,Motorcycle,Rain,1
DEL-1025,32.41,Scooter,Clear,0
DEL-1026,25.47,Scooter,Clear,1
DEL-1027,33.87,Motorcycle,Clear,0
DEL-1028,28.5,Motorcycle,Clear,1
DEL-1029,30.2,Van,Clear,0
DEL-1030,28.49,Motorcycle,Clear,1
DEL-1031,41.99,Scooter,Clear,0
DEL-1032,31.73,Scooter,Clear,0
DEL-1033,25.98,Motorcycle,Clear,1
DEL-1034,36.32,Scooter,Clear,0
DEL-1035,25.09,Motorcycle,Clear,1
DEL-1036,32.95,Van,Clear,0
DEL-1037,21.02,Motorcycle,Rain,1
DEL-1038,24.49,Scooter,Clear,1
DEL-1039,32.88,Motorcycle,Rain,0
DEL-1040,35.86,Motorcycle,Clear,0
DEL-1041,32.74,Motorcycle,Clear,0
DEL-1042,31.16,Van,Fog,0
DEL-1043,30.14,Scooter,Fog,0
DEL-1044,23.67,Bicycle,Clear,1
DEL-1045,27.84,Van,Clear,1
DEL-1046,29.27,Scooter,Rain,1
DEL-1047,37.61,Scooter,Rain,0
DEL-1048,33.69,Scooter,Clear,0
DEL-1049,22.1,Scooter,Clear,1
DEL-1050,33.58,Scooter,Clear,0
DEL-1051,29.68,Motorcycle,Clear,1
DEL-1052,28.08,Scooter,Clear,1
DEL-1053,35.16,Scooter,Clear,0
