item_id,weight_grams,machine_id,temperature_celsius,within_tolerance
ITEM-5000,496.36,Line_A,26.0,1
ITEM-5001,495.68,Line_A,24.3,1
ITEM-5002,496.9,Line_A,21.3,1
ITEM-5003,501.31,Line_C,22.5,1
ITEM-5004,497.94,Line_B,22.4,1
ITEM-5005,502.44,Line_B,19.7,1
ITEM-5006,500.91,Line_C,20.8,1
ITEM-5007,494.5,Line_A,21.5,1
ITEM-5008,502.9,Line_C,18.8,1
ITEM-5009,503.39,Line_B,22.6,1
ITEM-5010,497.62,Line_C,22.1,1
ITEM-5011,502.14,Line_A,19.5,1
ITEM-5012,498.06,Line_C,23.2,1
ITEM-5013,501.11,Line_A,23.8,1
ITEM-5014,496.75,Line_A,22.9,1
ITEM-5015,495.06,Line_C,21.9,1
ITEM-5016,499.57,Line_A,23.6,1
ITEM-5017,500.4,Line_B,23.7,1
ITEM-5018,499.53,Line_B,23.1,1
ITEM-5019,497.01,Line_B,21.0,1
ITEM-5020,499.52,Line_A,23.0,1
ITEM-5021,501.66,Line_A,24.7,1
ITEM-5022,500.66,Line_A,21.4,1
ITEM-5023,501.38,Line_B,26.3,1
ITEM-5024,498.66,Line_A,21.6,1
ITEM-5025,504.55,Line_A,22.6,1
ITEM-5026,497.04,Line_A,21.3,1
ITEM-5027,502.36,Line_A,22.9,1
ITEM-5028,504.58,Line_B,19.4,1
ITEM-5029,502.34,Line_C,21.5,1
ITEM-5030,500.15,Line_A,20.5,1
ITEM-5031,499.11,Line_B,22.7,1
ITEM-5032,504.12,Line_B,24.3,1
ITEM-5033,496.25,Line_B,23.7,1
ITEM-5034,497.7,Line_B,18.2,1
ITEM-5035,499.53,Line_B,26.2,1
ITEM-5036,504.76,Line_B,23.0,1
ITEM-5037,502.02,Line_A,21.1,1
ITEM-5038,497.7,Line_B,22.8,1
ITEM-5039,499.81,Line_B,22.8,1
ITEM-5040,498.83,Line_A,21.3,1
ITEM-5041,498.53,Line_A,22.9,1
ITEM-5042,503.93,Line_C,21.4,1
ITEM-5043,496.41,Line_B,21.8,1
ITEM-5044,505.95,Line_B,21.3,1
ITEM-5045,503.45,Line_C,19.9,1
ITEM-5046,504.29,Line_B,22.8,1
ITEM-5047,499.32,Line_B,23.6,1
ITEM-5048,500.32,Line_C,23.4,1
ITEM-5049,496.21,Line_C,24.0,1
ITEM-5050,499.12,Line_B,23.1,1
ITEM-5051,502.38,Line_B,21.5,1
ITEM-5052,504.95,Line_A,24.0,1
ITEM-5053,497.26,Line_C,20.1,1
ITEM-5054,499.63,Line_B,20.9,1
ITEM-5055,500.32,Line_A,20.8,1
ITEM-5056,496.33,Line_C,24.4,1
ITEM-5057,502.69,Line_B,24.2,1
ITEM-5058,498.48,Line_A,23.4,1
ITEM-5059,500.17,Line_B,24.4,1
ITEM-5060,499.35,Line_B,20.9,1
ITEM-5061,498.27,Line_C,23.1,1
ITEM-5062,500.78,Line_A,22.3,1
ITEM-5063,500.11,Line_C,24.0,1
ITEM-5064,499.61,Line_B,22.3,1
ITEM-5065,498.47,Line_A,21.8,1
ITEM-5066,501.82,Line_C,23.5,1
ITEM-5067,506.09,Line_B,24.1,0
ITEM-5068,501.25,Line_A,21.3,1
ITEM-5069,503.99,Line_B,22.4,1
ITEM-5070,496.35,Line_C,20.6,1
ITEM-5071,501.3,Line_A,18.0,1
ITEM-5072,497.29,Line_A,22.9,1
ITEM-5073,496.07,Line_A,23.6,1
ITEM-5074,498.43,Line_A,23.0,1
ITEM-5075,504.61,Line_C,19.0,1
ITEM-5076,503.84,Line_B,21.9,1
ITEM-5077,501.58,Line_A,18.5,1
ITEM-5078,495.9,Line_A,25.0,1
ITEM-5079,500.17,Line_A,20.5,1
ITEM-5080,501.77,Line_C,24.8,1
ITEM-5081,501.36,Line_A,24.2,1
ITEM-5082,494.9,Line_C,20.9,1
ITEM-5083,497.95,Line_B,20.5,1
ITEM-5084,500.59,Line_A,23.1,1
ITEM-5085,502.52,Line_C,21.0,1
ITEM-5086,493.77,Line_B,22.7,0
ITEM-5087,500.28,Line_B,21.6,1
ITEM-5088,501.26,Line_C,19.3,1
ITEM-5089,503.52,Line_A,18.5,1
ITEM-5090,503.02,Line_A,22.9,1
ITEM-5091,502.66,Line_B,21.5,1
ITEM-5092,498.24,Line_A,21.5,1
ITEM-5093,494.69,Line_A,23.8,1
ITEM-5094,499.54,Line_A,24.6,1
ITEM-5095,504.01,Line_A,22.0,1
ITEM-5096,505.26,Line_C,21.9,1
ITEM-5097,503.07,Line_A,23.4,1
ITEM-5098,502.17,Line_B,20.1,1
ITEM-5099,502.01,Line_B,22.9,1
ITEM-5100,499.02,Line_B,23.5,1
ITEM-5101,500.38,Line_A,23.7,1
ITEM-5102,506.14,Line_C,19.0,0
ITEM-5103,497.78,Line_A,21.1,1
ITEM-5104,505.97,Line_C,20.9,1
ITEM-5105,499.77,Line_C,22.7,1
ITEM-5106,505.04,Line_B,23.4,1
ITEM-5107,496.3,Line_B,25.2,1
ITEM-5108,502.67,Line_B,21.6,1
ITEM-5109,498.44,Line_A,21.6,1
ITEM-5110,496.27,Line_C,24.6,1
ITEM-5111,501.5,Line_C,23.0,1
ITEM-5112,504.03,Line_A,24.8,1
ITEM-5113,498.1,Line_B,23.0,1
ITEM-5114,496.0,Line_C,20.4,1
ITEM-5115,500.51,Line_C,20.1,1
ITEM-5116,500.52,Line_B,19.7,1
ITEM-5117,502.55,Line_B,23.7,1
ITEM-5118,503.84,Line_A,24.6,1
ITEM-5119,500.61,Line_C,25.8,1
ITEM-5120,506.74,Line_A,24.0,0
ITEM-5121,501.52,Line_B,24.6,1
ITEM-5122,499.69,Line_A,21.5,1
ITEM-5123,495.64,Line_A,20.4,1
ITEM-5124,499.96,Line_B,24.0,1
ITEM-5125,499.72,Line_C,23.3,1
ITEM-5126,503.87,Line_A,22.7,1
ITEM-5127,502.28,Line_B,23.2,1
ITEM-5128,497.03,Line_A,23.1,1
ITEM-5129,501.35,Line_A,24.8,1
ITEM-5130,502.95,Line_B,24.8,1
ITEM-5131,505.69,Line_B,23.5,1
ITEM-5132,503.64,Line_A,24.0,1
ITEM-5133,503.23,Line_A,23.4,1
ITEM-5134,500.99,Line_A,21.7,1
ITEM-5135,502.04,Line_A,23.9,1
ITEM-5136,504.8,Line_C,20.0,1
ITEM-5137,496.54,Line_C,24.4,1
ITEM-5138,499.68,Line_A,20.3,1
ITEM-5139,498.33,Line_B,23.0,1
ITEM-5140,502.01,Line_C,21.0,1
ITEM-5141,504.74,Line_A,23.5,1
ITEM-5142,498.89,Line_C,22.4,1
