user_id,group,converted,revenue,session_duration,orders,bounce,refunded
USR-10000,Control,0,0.0,121.7,0,0,0
USR-10001,Treatment,0,0.0,5.6,0,1,0
USR-10002,Treatment,0,0.0,20.2,0,1,0
USR-10003,Treatment,0,0.0,23.6,0,1,0
USR-10004,Control,0,0.0,74.8,0,0,0
USR-10005,Control,0,0.0,98.9,0,0,0
USR-10006,Control,0,0.0,102.8,0,0,0
USR-10007,Treatment,0,0.0,5.2,0,1,0
USR-10008,Treatment,0,0.0,154.3,0,0,0
USR-10009,Treatment,0,0.0,22.6,0,1,0
USR-10010,Control,0,0.0,11.9,0,1,0
USR-10011,Treatment,0,0.0,150.1,0,0,0
USR-10012,Treatment,0,0.0,124.4,0,0,0
USR-10013,Control,0,0.0,9.6,0,1,0
USR-10014,Control,0,0.0,24.7,0,1,0
USR-10015,Control,0,0.0,65.5,0,0,0
USR-10016,Control,0,0.0,43.4,0,0,0
USR-10017,Treatment,0,0.0,15.5,0,1,0
USR-10018,Control,0,0.0,182.6,0,0,0
USR-10019,Control,0,0.0,93.5,0,0,0
USR-10020,Treatment,0,0.0,20.0,0,1,0
USR-10021,Control,0,0.0,23.7,0,1,0
USR-10022,Control,0,0.0,11.1,0,1,0
USR-10023,Control,1,36.98,227.8,1,0,0
USR-10024,Control,1,23.92,328.8,1,0,0
USR-10025,Treatment,0,0.0,136.6,0,0,0
USR-10026,Control,0,0.0,86.6,0,0,0
USR-10027,Treatment,0,0.0,137.1,0,0,0
USR-10028,Treatment,0,0.0,21.6,0,1,0
USR-10029,Control,0,0.0,81.7,0,0,0
USR-10030,Treatment,0,0.0,17.4,0,1,0
USR-10031,Control,1,64.23,195.5,1,0,0
USR-10032,Control,0,0.0,131.7,0,0,0
USR-10033,Treatment,0,0.0,87.6,0,0,0
USR-10034,Treatment,0,0.0,114.5,0,0,0
USR-10035,Treatment,0,0.0,128.8,0,0,0
USR-10036,Control,0,0.0,101.2,0,0,0
USR-10037,Control,0,0.0,119.5,0,0,0
USR-10038,Treatment,0,0.0,9.6,0,1,0
USR-10039,Control,0,0.0,142.9,0,0,0
USR-10040,Control,0,0.0,119.8,0,0,0
USR-10041,Control,0,0.0,84.9,0,0,0
USR-10042,Control,0,0.0,104.8,0,0,0
