Order_ID,Quantity,Unit_Price,Cost_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Customer_Rating,Delivery_Time_Days,Marketing_Spend,Page_Views
ORD-10000,7,44.44,21.43,0.158,261.93,150.01,111.92,0.4273,2.8,8,11.32,6
ORD-10001,20,284.96,158.09,0.126,4981.1,3161.8,1819.3,0.3652,4.0,7,234.99,150
ORD-10002,29,33.64,18.44,0.044,932.64,534.76,397.88,0.4266,3.4,7,56.17,100
ORD-10003,15,297.18,166.13,0.098,4020.85,2491.95,1528.9,0.3802,3.3,7,160.1,71
ORD-10004,11,32.3,15.64,0.012,351.04,172.04,179.0,0.5099,3.7,9,30.94,49
ORD-10005,8,21.11,6.91,0.075,156.21,55.28,100.93,0.6461,3.2,5,23.82,35
ORD-10006,29,248.48,144.05,0.022,7047.39,4177.45,2869.94,0.4072,4.0,5,263.25,148
ORD-10007,21,349.08,189.52,0.235,5607.97,3979.92,1628.05,0.2903,3.2,8,259.43,143
ORD-10008,7,315.36,176.75,0.088,2013.26,1237.25,776.01,0.3854,3.3,4,80.69,42
ORD-10009,26,207.96,121.55,0.084,4952.78,3160.3,1792.48,0.3619,3.4,4,244.46,150
ORD-10010,19,322.33,178.09,0.007,6081.4,3383.71,2697.69,0.4436,3.6,4,270.19,132
ORD-10011,23,16.78,5.0,0.07,358.92,115.0,243.92,0.6796,3.5,6,12.45,62
ORD-10012,11,341.65,187.01,0.08,3457.5,2057.11,1400.39,0.405,3.3,4,148.59,82
ORD-10013,11,179.4,103.76,0.068,1839.21,1141.36,697.85,0.3794,3.9,4,102.41,52
ORD-10014,24,257.17,142.47,0.024,6023.95,3419.28,2604.67,0.4324,3.4,4,252.39,145
ORD-10015,21,289.99,153.47,0.095,5511.26,3222.87,2288.39,0.4152,2.5,8,253.12,145
ORD-10016,4,255.68,143.61,0.139,880.56,574.44,306.12,0.3476,4.5,4,44.58,46
ORD-10017,8,194.24,110.68,0.124,1361.23,885.44,475.79,0.3495,3.9,3,68.27,61
ORD-10018,24,174.67,94.29,0.154,3546.5,2262.96,1283.54,0.3619,4.6,4,171.11,135
ORD-10019,3,295.93,165.81,0.121,780.37,497.43,282.94,0.3626,3.2,6,55.27,30
ORD-10020,22,83.7,47.26,0.073,1706.98,1039.72,667.26,0.3909,3.8,7,69.4,76
ORD-10021,21,339.28,185.62,0.167,5935.03,3898.02,2037.01,0.3432,4.0,5,258.91,148
ORD-10022,2,253.17,132.78,0.008,502.29,265.56,236.73,0.4713,3.7,5,37.6,21
ORD-10023,24,81.83,50.4,0.115,1738.07,1209.6,528.47,0.3041,3.1,6,70.85,91
ORD-10024,12,261.64,147.7,0.074,2907.34,1772.4,1134.94,0.3904,3.7,4,110.44,81
ORD-10025,6,192.5,108.79,0.143,989.84,652.74,337.1,0.3406,4.2,2,25.62,53
ORD-10026,2,251.92,146.28,0.051,478.14,292.56,185.58,0.3881,3.9,6,29.71,29
ORD-10027,28,272.21,154.44,0.072,7073.1,4324.32,2748.78,0.3886,3.7,5,297.11,171
ORD-10028,21,44.24,27.76,0.035,896.52,582.96,313.56,0.3498,4.1,6,58.43,69
ORD-10029,1,184.54,90.43,0.181,151.14,90.43,60.71,0.4017,4.0,5,33.35,34
ORD-10030,12,327.22,185.96,0.062,3683.19,2231.52,1451.67,0.3941,3.5,5,156.12,91
ORD-10031,26,122.42,67.75,0.111,2829.62,1761.5,1068.12,0.3775,3.1,5,126.94,110
ORD-10032,22,213.95,119.23,0.093,4269.16,2623.06,1646.1,0.3856,3.9,4,174.39,113
ORD-10033,29,138.69,77.88,0.048,3828.95,2258.52,1570.43,0.4101,3.5,4,169.47,129
ORD-10034,12,167.18,95.82,0.027,1951.99,1149.84,802.15,0.4109,3.9,4,107.61,73
ORD-10035,25,198.78,114.94,0.298,3488.59,2873.5,615.09,0.1763,3.9,7,156.06,105
ORD-10036,17,198.89,112.56,0.069,3147.83,1913.52,1234.31,0.3921,3.7,8,158.36,112
ORD-10037,27,82.58,47.8,0.032,2158.31,1290.6,867.71,0.402,4.1,8,115.61,123
ORD-10038,27,244.33,135.54,0.085,6036.17,3659.58,2376.59,0.3937,3.2,6,278.31,159
ORD-10039,10,44.44,7.68,0.029,431.51,76.8,354.71,0.822,4.0,8,34.2,41
ORD-10040,28,61.51,32.39,0.09,1567.27,906.92,660.35,0.4213,4.4,5,69.7,101
