Variable_1,Variable_2,Pearson_r,Pearson_p,CI_Lower,CI_Upper,Spearman_rho,Spearman_p,Abs_Diff,Strength,Direction,Is_Significant,Is_Strong,Is_Multicollinear,Is_Divergent
Quantity,Unit_Price,-0.0149,0.6052564622724762,-0.0715,0.0417,-0.006,0.8348992861860418,0.0089,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Quantity,Cost_Price,-0.0167,0.5638999029141664,-0.0732,0.04,-0.0074,0.7976275575380135,0.0093,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Quantity,Discount,0.0508,0.07854254287538968,-0.0058,0.1071,0.003,0.9165706398344434,0.0478,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Quantity,Revenue,0.6541,1.922359802977509e-147,0.6205,0.6853,0.7129,7.896722087230493e-187,0.0588,Strong (0.60 - 0.79),Positive,True,False,False,False
Quantity,Cost,0.5388,2.757124037764047e-91,0.4973,0.5777,0.7142,7.279266533521743e-188,0.1755,Moderate (0.40 - 0.59),Positive,True,False,False,False
Quantity,Profit,0.4737,3.9154057460390165e-68,0.4286,0.5164,0.6942,2.621026004244649e-173,0.2206,Moderate (0.40 - 0.59),Positive,True,False,False,True
Quantity,Profit_Margin,-0.0229,0.4271922956579398,-0.0794,0.0337,0.0138,0.633349933639669,0.0367,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Quantity,Customer_Rating,-0.0381,0.18729492549958107,-0.0945,0.0185,-0.0719,0.012784115683356368,0.0338,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Quantity,Delivery_Time_Days,0.1328,3.914243381094487e-06,0.0768,0.188,0.1775,5.926422967542484e-10,0.0447,Very Weak (0.00 - 0.19),Positive,True,False,False,False
Quantity,Marketing_Spend,0.1605,2.2483710863617503e-08,0.1049,0.2152,0.6872,1.876276517725453e-168,0.5266,Very Weak (0.00 - 0.19),Positive,True,False,False,True
Quantity,Page_Views,0.6754,1.2383027979360034e-160,0.6434,0.705,0.8856,0.0,0.2103,Strong (0.60 - 0.79),Positive,True,False,False,True
Unit_Price,Cost_Price,0.9957,0.0,0.9952,0.9962,0.9957,0.0,0.0,Very Strong (0.80 - 1.00),Positive,True,True,True,False
Unit_Price,Discount,-0.0109,0.7056307528754174,-0.0675,0.0457,-0.0234,0.41803596261122783,0.0125,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Unit_Price,Revenue,0.5116,5.275988881646961e-81,0.4685,0.5522,0.6083,2.380581606473085e-122,0.0967,Moderate (0.40 - 0.59),Positive,True,False,False,False
Unit_Price,Cost,0.6243,1.154276575981657e-130,0.5885,0.6577,0.6085,1.8762837621022537e-122,0.0158,Strong (0.60 - 0.79),Positive,True,False,False,False
Unit_Price,Profit,0.5112,6.98009262783632e-81,0.4682,0.5519,0.5938,2.9102382480561485e-115,0.0826,Moderate (0.40 - 0.59),Positive,True,False,False,False
Unit_Price,Profit_Margin,0.046,0.11092933900110667,-0.0106,0.1024,0.0087,0.762983034648191,0.0373,Very Weak (0.00 - 0.19),Positive,False,False,False,False
Unit_Price,Customer_Rating,-0.0066,0.8200265433524164,-0.0631,0.05,-0.0117,0.6854394620980003,0.0051,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Unit_Price,Delivery_Time_Days,-0.0123,0.6699297207414031,-0.0689,0.0443,-0.0014,0.9624856914962056,0.011,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Unit_Price,Marketing_Spend,0.1819,2.194580833531264e-10,0.1266,0.236,0.5985,1.710834214242852e-117,0.4166,Very Weak (0.00 - 0.19),Positive,True,False,False,True
Unit_Price,Page_Views,0.3603,4.338955500487578e-38,0.31,0.4085,0.326,4.14758163327375e-31,0.0343,Weak (0.20 - 0.39),Positive,True,False,False,False
Cost_Price,Discount,-0.0076,0.7915289335504111,-0.0642,0.049,-0.0196,0.4983314300337683,0.0119,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Cost_Price,Revenue,0.5079,1.062755731906627e-79,0.4647,0.5488,0.6048,1.375685832938538e-120,0.0968,Moderate (0.40 - 0.59),Positive,True,False,False,False
Cost_Price,Cost,0.626,1.4820583797109643e-131,0.5903,0.6592,0.6106,1.650005471476228e-123,0.0154,Strong (0.60 - 0.79),Positive,True,False,False,False
Cost_Price,Profit,0.5006,4.2076905197339445e-77,0.4569,0.5418,0.5818,1.2483678735773135e-109,0.0812,Moderate (0.40 - 0.59),Positive,True,False,False,False
Cost_Price,Profit_Margin,-0.0108,0.708501774149647,-0.0674,0.0458,-0.0507,0.07923173722962458,0.0399,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Cost_Price,Customer_Rating,-0.0082,0.7755748196723252,-0.0648,0.0484,-0.0125,0.6661110325088345,0.0042,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Cost_Price,Delivery_Time_Days,-0.014,0.628064124943219,-0.0705,0.0426,-0.0038,0.8953918317379133,0.0102,Very Weak (0.00 - 0.19),Negative,False,False,False,False
Cost_Price,Marketing_Spend,0.1845,1.1991368603437212e-10,0.1292,0.2386,0.5957,3.786463073163052e-116,0.4112,Very Weak (0.00 - 0.19),Positive,True,False,False,True
