Record_ID,Advertising_Spend,Sales,Region,Month
REC-20000,43708.61,94130.86,North,Feb
REC-20001,95564.29,182744.01,North,Mar
REC-20002,75879.45,159656.46,West,Nov
REC-20003,63879.26,121348.31,North,Jan
REC-20004,24041.68,58309.34,West,Jun
REC-20005,24039.51,46709.32,South,Jun
REC-20006,15227.53,87774.61,North,Jan
REC-20007,87955.85,183955.27,West,Nov
REC-20008,64100.35,127785.57,South,Mar
REC-20009,73726.53,161559.39,South,May
REC-20010,11852.6,44312.78,South,Mar
REC-20011,97291.89,196147.95,East,Oct
REC-20012,84919.84,188910.71,North,Mar
REC-20013,29110.52,91034.07,South,Oct
REC-20014,26364.25,62906.63,West,Mar
REC-20015,26506.41,62346.81,North,May
REC-20016,37381.8,87336.31,East,May
REC-20017,57228.08,86575.96,South,Apr
REC-20018,48875.05,85701.65,East,Jan
REC-20019,36210.62,114782.85,North,May
REC-20020,65066.76,171729.59,West,Oct
REC-20021,22554.45,61115.36,South,May
REC-20022,36293.02,100705.46,North,Apr
REC-20023,42972.57,107953.13,North,Jun
REC-20024,51046.3,172303.19,North,Oct
REC-20025,80665.84,190350.86,South,Apr
REC-20026,27970.64,73044.64,South,Jul
REC-20027,56281.1,109106.25,West,Jul
REC-20028,63317.31,110055.12,South,Feb
REC-20029,14180.54,54187.32,North,Mar
REC-20030,64679.04,127807.96,East,Jan
REC-20031,25347.17,45024.34,East,Aug
REC-20032,15854.64,41900.04,North,Sep
REC-20033,95399.7,177251.6,North,Apr
REC-20034,96906.88,229800.93,North,Jun
REC-20035,82755.76,189829.88,East,Sep
REC-20036,37415.24,92203.92,East,Jun
REC-20037,18790.49,85461.88,South,Dec
REC-20038,71580.97,155238.38,West,Dec
REC-20039,49613.72,98801.58,West,Dec
REC-20040,20983.44,90186.43,East,Sep
REC-20041,54565.92,132919.04,West,Apr
REC-20042,13094.97,30000.0,North,Aug
REC-20043,91838.84,186883.82,North,Sep
REC-20044,33290.2,69161.23,North,Apr
REC-20045,69627.01,125438.22,North,May
REC-20046,38054.0,110168.4,South,Aug
REC-20047,56806.12,161620.52,West,Dec
REC-20048,59203.93,106392.86,North,Oct
REC-20049,26636.9,83079.87,North,Jun
REC-20051,79761.95,159803.25,West,Jul
REC-20052,94554.9,184535.73,South,Mar
REC-20053,90534.46,172410.19,South,Jul
REC-20054,63811.0,140733.19,North,Dec
REC-20055,92968.68,177386.52,North,Aug
REC-20056,17964.33,62204.02,West,Oct
REC-20057,27638.46,73844.94,West,Jun
REC-20058,14070.46,46025.76,North,Oct
REC-20059,39279.73,79367.37,West,Sep
REC-20060,44980.96,95583.84,East,Jun
REC-20061,34421.41,100555.58,West,Dec
REC-20062,84586.38,186271.99,South,Sep
REC-20063,42107.8,83198.05,South,Apr
REC-20064,35284.11,90299.38,South,Aug
REC-20065,58842.65,144441.74,East,Nov
REC-20066,22683.18,35780.43,North,Apr
REC-20067,82197.73,182736.4,North,Feb
REC-20068,16709.56,43149.98,South,Oct
REC-20069,98819.82,213146.45,East,Nov
REC-20070,79502.03,154364.99,North,Sep
REC-20071,27884.41,42704.06,East,May
REC-20072,10496.99,30000.0,West,Apr
REC-20073,83391.53,175970.28,North,Feb
REC-20074,73617.16,162185.89,East,Jan
REC-20075,75610.65,144821.47,South,Nov
REC-20076,79414.33,179440.46,West,Jul
REC-20077,16664.02,30000.0,North,Jun
REC-20078,42261.92,99882.02,East,Feb
REC-20079,20428.22,39972.5,West,Aug
REC-20080,87679.31,171089.71,West,Nov
REC-20081,66096.83,144827.47,East,Apr
REC-20082,39780.82,81118.04,South,Aug
REC-20083,15720.25,46374.45,East,Jul
REC-20084,37988.41,111492.41,West,May
REC-20085,39266.5,85295.65,East,Oct
REC-20086,75664.56,176238.67,North,Oct
REC-20087,67380.17,125949.58,West,Dec
REC-20088,89849.15,196264.95,East,Aug
REC-20089,52499.34,145447.05,East,Sep
REC-20090,20763.48,30000.0,North,May
REC-20091,74192.03,144201.54,East,Oct
REC-20092,78470.65,176634.47,South,May
REC-20093,60514.95,130272.09,East,Feb
REC-20094,79387.05,174577.32,North,May
REC-20095,54441.6,112123.15,East,Mar
REC-20096,57045.95,129241.33,West,Jul
REC-20097,48478.69,109459.45,North,Oct
REC-20098,12287.72,68137.97,West,May
REC-20099,19710.23,65057.99,South,Aug
REC-20100,12828.63,54168.38,West,Jan
