Record_ID,Date,TV_Spend,Digital_Spend,Radio_Spend,Discount,Quantity,Region,Category,Competitor_Price,Customer_Count,Advertising_Spend,Sales,Profit,Month,Year
REC-00001,2022-04-13,10599.27,11842.98,4398.47,18.92,217,East,Food,433.99,1957,26840.72,30225.26,5184.51,4,2022
REC-00002,2023-03-12,6469.09,1651.06,4398.58,16.49,229,West,Electronics,274.25,869,12518.73,18001.87,2415.62,3,2023
REC-00003,2022-09-28,13177.61,2927.34,1719.0,20.69,409,South,Clothing,321.46,1522,17823.95,23384.73,3989.7,9,2022
REC-00004,2022-04-17,7970.92,810.02,1767.99,4.32,199,South,Clothing,152.27,506,10548.93,14198.84,1224.9,4,2022
REC-00005,2022-03-13,14610.1,7752.04,4946.24,17.86,397,West,Home,294.7,3072,27308.37,27330.62,2393.25,3,2022
REC-00006,2023-12-02,9228.06,2851.47,3168.26,5.16,438,East,Sports,362.74,1972,15247.8,18338.4,2640.95,12,2023
REC-00007,2022-01-21,3745.81,2324.12,2703.45,27.77,355,North,Clothing,281.83,2794,8773.39,14021.94,2200.7,1,2022
REC-00008,2023-09-07,12415.96,1244.96,4206.95,2.05,293,West,Electronics,495.63,2369,17867.87,23211.21,4741.92,9,2023
REC-00009,2022-05-02,5503.7,1419.05,1497.92,12.91,361,South,Electronics,325.1,4849,8420.67,17605.2,1666.38,5,2022
REC-00010,2023-04-12,5540.48,7099.11,2202.99,20.87,246,South,Sports,216.94,1281,14842.59,20914.48,4081.89,4,2023
REC-00011,2022-08-03,961.17,8320.85,1412.11,13.74,203,South,Sports,397.47,1539,10694.13,17634.35,1929.32,8,2022
REC-00012,2022-11-27,8456.37,4889.07,3966.89,2.76,296,East,Home,126.71,3153,17312.33,24258.58,3279.07,11,2022
REC-00013,2023-04-04,8249.14,5862.79,2909.41,16.6,268,South,Food,223.03,3433,17021.34,21815.66,2712.22,4,2023
REC-00014,2022-03-29,5661.88,8294.42,3328.24,19.25,255,West,Electronics,206.13,2997,17284.54,25432.48,3459.37,3,2022
REC-00016,2022-04-10,2366.85,4012.94,1179.1,11.2,289,South,Electronics,401.8,328,7558.9,18564.19,2793.91,4,2022
REC-00017,2023-10-26,5286.44,11682.55,2493.04,16.91,280,West,Sports,267.88,4059,19462.03,24860.09,4778.85,10,2023
REC-00018,2022-05-11,5162.95,7045.32,3714.07,13.52,180,South,Clothing,407.31,1993,15922.35,20610.95,2922.94,5,2022
