Customer_ID,Gender,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Payment_Method,Support_Calls,Late_Payments,Usage_Hours,Discount,Churn
CUST-00001,Male,22.0,33.0,65.62,2126.96,Month-to-month,Fiber optic,Electronic check,0.0,1.0,142.2,29.4,0
CUST-00002,Female,35.0,41.0,56.91,2268.5,Two year,DSL,Mailed check,2.0,2.0,286.4,6.0,0
CUST-00003,Male,45.0,8.0,32.1,233.99,Month-to-month,DSL,Electronic check,2.0,1.0,256.6,2.0,0
CUST-00004,Male,59.0,11.0,61.89,689.86,Month-to-month,DSL,Mailed check,1.0,2.0,52.1,25.8,0
CUST-00005,Male,39.0,51.0,95.12,4880.87,Month-to-month,Fiber optic,Bank transfer (automatic),2.0,1.0,18.6,26.1,1
CUST-00006,Female,38.0,41.0,27.1,1083.23,One year,Fiber optic,Mailed check,1.0,1.0,280.7,14.2,0
CUST-00007,Male,23.0,17.0,28.02,455.69,Month-to-month,Fiber optic,Credit card (automatic),1.0,0.0,162.8,15.4,0
CUST-00008,Male,18.0,46.0,55.48,2505.75,Month-to-month,Fiber optic,Bank transfer (automatic),1.0,1.0,166.0,25.1,0
CUST-00009,Male,22.0,32.0,114.17,3651.87,One year,Fiber optic,Electronic check,2.0,1.0,236.4,22.2,0
CUST-00010,Female,58.0,54.0,86.86,4648.02,Month-to-month,DSL,Electronic check,4.0,0.0,101.3,8.0,1
CUST-00011,Male,29.0,20.0,87.87,1786.06,Two year,DSL,Bank transfer (automatic),2.0,1.0,149.8,0.5,0
CUST-00013,Male,63.0,40.0,79.37,3156.82,Month-to-month,DSL,Credit card (automatic),0.0,0.0,204.9,25.8,0
CUST-00015,Female,66.0,2.0,83.61,176.41,One year,Fiber optic,Electronic check,4.0,0.0,48.6,28.7,0
CUST-00016,Male,31.0,33.0,111.33,3808.54,Month-to-month,Fiber optic,Credit card (automatic),5.0,0.0,69.2,26.4,0
CUST-00017,Female,43.0,30.0,81.26,2455.29,Month-to-month,No,Electronic check,1.0,2.0,232.3,17.4,0
CUST-00018,Female,62.0,33.0,107.37,3493.01,Month-to-month,DSL,Mailed check,1.0,0.0,95.7,13.3,0
CUST-00019,Female,44.0,26.0,92.4,2397.63,Two year,DSL,Bank transfer (automatic),4.0,1.0,16.2,23.2,0
CUST-00020,Male,26.0,22.0,32.06,616.51,Month-to-month,Fiber optic,Mailed check,2.0,1.0,283.8,22.2,0
CUST-00021,Female,43.0,66.0,110.25,7272.47,One year,DSL,Electronic check,3.0,0.0,59.2,16.1,0
CUST-00022,Male,74.0,38.0,26.64,970.67,One year,No,Mailed check,3.0,1.0,12.8,2.6,0
CUST-00023,Female,64.0,46.0,73.4,3422.17,Month-to-month,DSL,Mailed check,2.0,1.0,78.8,27.8,0
CUST-00024,Female,74.0,15.0,34.21,485.67,Month-to-month,Fiber optic,Electronic check,1.0,0.0,78.2,13.7,0
CUST-00025,Female,39.0,44.0,21.17,925.64,Two year,Fiber optic,Electronic check,2.0,1.0,132.4,10.9,0
CUST-00026,Female,64.0,49.0,62.2,3016.02,Month-to-month,Fiber optic,Bank transfer (automatic),2.0,1.0,276.9,18.9,0
CUST-00027,Female,73.0,61.0,49.5,3106.44,One year,DSL,Mailed check,0.0,1.0,265.0,20.2,0
CUST-00028,Female,47.0,67.0,68.6,4580.14,Month-to-month,DSL,Credit card (automatic),3.0,0.0,142.5,6.3,0
CUST-00029,Female,60.0,6.0,77.72,557.95,Month-to-month,Fiber optic,Credit card (automatic),3.0,2.0,129.2,25.1,1
CUST-00030,Female,65.0,9.0,24.37,260.04,Month-to-month,DSL,Electronic check,0.0,1.0,171.0,8.7,0
CUST-00031,Male,34.0,6.0,32.3,217.9,Month-to-month,Fiber optic,Electronic check,3.0,0.0,80.6,5.6,0
CUST-00032,Male,43.0,32.0,75.86,2445.96,Month-to-month,Fiber optic,Mailed check,0.0,0.0,25.1,12.2,0
CUST-00033,Female,53.0,41.0,54.32,2246.81,Two year,Fiber optic,Electronic check,3.0,0.0,282.4,21.9,0
CUST-00034,Female,18.0,8.0,92.92,646.98,Month-to-month,Fiber optic,Credit card (automatic),0.0,0.0,64.1,29.0,1
CUST-00035,Female,25.0,50.0,85.23,4247.56,Month-to-month,DSL,Bank transfer (automatic),2.0,1.0,67.5,24.3,1
CUST-00036,Male,66.0,62.0,104.56,6524.98,Month-to-month,Fiber optic,Bank transfer (automatic),1.0,1.0,147.0,28.2,0
CUST-00037,Female,52.0,62.0,89.25,5531.06,One year,No,Mailed check,1.0,0.0,152.6,4.2,1
CUST-00038,Male,69.0,7.0,62.99,370.67,Month-to-month,Fiber optic,Bank transfer (automatic),2.0,1.0,15.3,2.1,0
CUST-00039,Male,32.0,4.0,87.3,346.58,One year,No,Electronic check,2.0,1.0,52.9,16.7,1
CUST-00041,Male,73.0,58.0,50.63,2998.88,Month-to-month,DSL,Electronic check,2.0,0.0,208.3,24.8,1
CUST-00042,Male,39.0,22.0,98.9,2172.7,Month-to-month,DSL,Electronic check,1.0,1.0,76.2,20.2,0
