Feature,Coefficient,Odds_Ratio
num__Age,0.3315841522392679,1.3931733800051398
num__Tenure_Months,-0.5391332283692576,0.5832535809976322
num__Monthly_Charges,0.9323642661030241,2.540508520981807
num__Total_Charges,-0.07598672707708166,0.9268285082010905
num__Support_Calls,0.6146217779140603,1.8489571508627805
num__Late_Payments,0.4126093394668712,1.5107547183928578
num__Usage_Hours,0.004097198086413853,1.0041056030775444
num__Discount,-0.26288953020847866,0.7688268247591623
num__Avg_Monthly_Usage,-0.024413150192998626,0.9758824404396357
num__Charges_Per_Call,-0.2313139537719253,0.793490307650109
num__Support_Risk_Index,-0.16751125554715732,0.8457670976638181
cat__Gender_Male,-0.03551765814739506,0.9651056921009717
cat__Contract_Type_One year,-1.2739173600757223,0.27973365516460286
cat__Contract_Type_Two year,-2.118548134271037,0.12020602488871145
cat__Internet_Service_Fiber optic,0.20763772500204095,1.2307672125847888
cat__Internet_Service_No,-0.5518111535716749,0.5759058113773844
cat__Payment_Method_Credit card (automatic),-0.14878489487183724,0.8617544627677636
cat__Payment_Method_Electronic check,-0.3238236550632727,0.7233777951443845
cat__Payment_Method_Mailed check,-0.24018087515211825,0.7864855924993348
