Threshold,TP,TN,FP,FN,Precision,Recall,F1,Accuracy
0.1,11,8,19,6,0.40119760479041916,0.9305555555555556,0.5606694560669456,0.5550847457627118
0.15000000000000002,6,10,17,11,0.44285714285714284,0.8611111111111112,0.5849056603773585,0.6271186440677966
0.20000000000000004,6,12,15,11,0.46511627906976744,0.8333333333333334,0.5970149253731343,0.6567796610169492
0.25000000000000006,5,13,14,12,0.4782608695652174,0.7638888888888888,0.5882352941176471,0.673728813559322
0.30000000000000004,5,14,13,12,0.5,0.7222222222222222,0.5909090909090909,0.6949152542372882
0.3500000000000001,4,15,12,13,0.5113636363636364,0.625,0.5625,0.7033898305084746
0.40000000000000013,4,19,8,13,0.582089552238806,0.5416666666666666,0.5611510791366906,0.7415254237288136
0.45000000000000007,4,20,7,13,0.6,0.5,0.5454545454545454,0.7457627118644068
0.5000000000000001,3,20,7,14,0.5818181818181818,0.4444444444444444,0.5039370078740157,0.7330508474576272
0.5500000000000002,3,21,6,14,0.6170212765957447,0.4027777777777778,0.48739495798319327,0.7415254237288136
0.6000000000000002,3,21,6,14,0.675,0.375,0.48214285714285715,0.7542372881355932
0.6500000000000001,2,24,3,15,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.7288135593220338
0.7000000000000002,1,24,3,16,0.7777777777777778,0.19444444444444445,0.3111111111111111,0.7372881355932204
0.7500000000000002,0,25,2,17,0.8181818181818182,0.125,0.21686746987951808,0.7245762711864406
0.8000000000000002,0,25,2,17,0.7777777777777778,0.09722222222222222,0.1728395061728395,0.7161016949152542
0.8500000000000002,0,26,1,17,1.0,0.06944444444444445,0.12987012987012986,0.7161016949152542
0.9000000000000002,0,27,0,17,0.0,0.0,0.0,0.6949152542372882
