Customer_ID,Age,Gender,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Payment_Method,Support_Calls,Late_Payments,Usage_Hours,Discount,Complaints,Risk_Level,Churn
CUST_10000,56.0,Male,68,77.86,5121.42,One year,Fiber optic,Bank transfer (automatic),1,2,165.1,0.0,0,Low,0
CUST_10001,69.0,Male,18,79.93,1439.95,Month-to-month,Fiber optic,Credit card (automatic),3,3,83.9,0.0,3,High,1
CUST_10002,46.0,Female,42,69.25,2933.49,Two year,Fiber optic,Electronic check,2,1,143.4,0.0,1,Low,0
CUST_10003,32.0,Female,10,87.9,856.14,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,122.5,0.0,0,Medium,1
CUST_10004,60.0,Male,2,30.95,62.44,One year,No,Bank transfer (automatic),0,1,99.5,0.0,1,Low,0
CUST_10005,25.0,Female,26,67.86,1834.99,One year,DSL,Electronic check,0,0,122.7,0.0,2,Low,0
CUST_10006,38.0,Female,1,94.49,94.24,One year,Fiber optic,Electronic check,1,2,35.5,0.0,0,High,1
CUST_10007,56.0,Female,15,52.97,822.95,Month-to-month,DSL,Credit card (automatic),4,0,105.9,0.0,0,High,1
CUST_10008,36.0,Male,5,59.31,309.22,Two year,DSL,Mailed check,0,0,90.5,5.0,0,Low,0
CUST_10009,40.0,Female,23,25.2,555.98,Month-to-month,No,Electronic check,2,1,127.4,10.0,0,Medium,0
CUST_10010,28.0,Male,72,20.44,1412.2,One year,No,Electronic check,0,1,37.4,0.0,0,Low,0
CUST_10011,28.0,Female,14,60.38,843.29,Month-to-month,DSL,Bank transfer (automatic),1,1,148.6,0.0,0,Medium,0
CUST_10012,41.0,Male,40,62.18,2509.11,Month-to-month,DSL,Bank transfer (automatic),1,0,180.9,0.0,0,Low,0
CUST_10013,70.0,Male,17,68.51,1156.04,Month-to-month,DSL,Bank transfer (automatic),2,0,134.7,0.0,1,Medium,1
CUST_10014,53.0,Male,16,63.84,1003.71,Month-to-month,DSL,Electronic check,3,1,162.4,0.0,1,High,1
CUST_10015,57.0,Female,63,76.16,4865.73,Month-to-month,Fiber optic,Credit card (automatic),1,0,116.9,0.0,1,Low,0
CUST_10016,41.0,Male,52,84.33,4166.81,Month-to-month,Fiber optic,Mailed check,2,0,70.0,0.0,1,Medium,1
CUST_10017,20.0,Female,36,71.68,2701.27,Month-to-month,DSL,Electronic check,1,0,140.1,15.0,1,Medium,0
CUST_10018,39.0,Female,8,87.48,681.09,One year,Fiber optic,Mailed check,0,1,170.6,0.0,0,Low,0
CUST_10019,70.0,Male,18,83.45,1564.75,Two year,Fiber optic,Mailed check,2,0,80.4,15.0,1,Low,0
CUST_10020,19.0,Female,6,37.63,216.95,Month-to-month,DSL,Credit card (automatic),4,1,119.1,15.0,0,Medium,0
CUST_10021,41.0,Male,14,75.68,1031.77,Month-to-month,Fiber optic,Credit card (automatic),3,1,128.9,10.0,0,High,1
CUST_10022,61.0,Female,15,56.49,824.88,Month-to-month,DSL,Electronic check,3,1,268.3,15.0,0,Medium,1
CUST_10023,47.0,Male,42,39.85,1756.74,Month-to-month,DSL,Credit card (automatic),2,0,150.1,0.0,0,Low,0
CUST_10024,55.0,Female,54,19.26,988.52,One year,No,Credit card (automatic),1,1,54.2,0.0,0,Low,0
CUST_10025,19.0,Female,12,50.02,608.62,One year,DSL,Credit card (automatic),3,1,43.1,0.0,0,Low,0
CUST_10026,38.0,Female,1,69.02,71.57,Month-to-month,Fiber optic,Electronic check,0,0,172.9,0.0,0,High,1
CUST_10027,50.0,Female,47,49.31,2357.5,Month-to-month,DSL,Bank transfer (automatic),2,2,251.8,0.0,0,Low,0
CUST_10028,29.0,Male,4,25.09,98.98,Month-to-month,No,Electronic check,0,1,127.4,10.0,2,Medium,0
CUST_10029,39.0,Female,23,37.38,899.14,Two year,No,Credit card (automatic),2,0,124.7,0.0,2,Low,0
CUST_10030,61.0,Female,1,94.16,97.87,Two year,Fiber optic,Electronic check,2,1,159.4,0.0,1,High,1
CUST_10031,42.0,Female,12,96.07,1145.23,Month-to-month,Fiber optic,Bank transfer (automatic),3,0,104.1,5.0,1,High,1
CUST_10032,66.0,Male,72,20.92,1517.29,Month-to-month,No,Electronic check,2,0,25.5,0.0,0,Low,0
CUST_10033,44.0,Female,2,104.18,218.1,Two year,Fiber optic,Electronic check,2,1,186.7,0.0,1,High,1
CUST_10034,59.0,Female,13,41.2,561.45,Two year,DSL,Bank transfer (automatic),2,1,112.4,0.0,0,Low,0
CUST_10035,45.0,Female,8,68.0,541.27,Month-to-month,Fiber optic,Credit card (automatic),0,0,187.3,10.0,0,Medium,0
CUST_10036,33.0,Male,56,89.38,5179.14,Month-to-month,Fiber optic,Bank transfer (automatic),2,2,105.8,5.0,1,Medium,1
