Threshold,FP,FN,TP,TN,FP_Cost,FN_Cost,Total_Cost
0.05,123,0,176,194,36900.0,0.0,36900.0
0.1,88,0,176,229,26400.0,0.0,26400.0
0.15,71,0,176,246,21300.0,0.0,21300.0
0.2,64,1,175,253,19200.0,5000.0,24200.0
0.25,53,3,173,264,15900.0,15000.0,30900.0
0.3,47,3,173,270,14100.0,15000.0,29100.0
0.35,43,6,170,274,12900.0,30000.0,42900.0
0.4,37,8,168,280,11100.0,40000.0,51100.0
0.45,34,9,167,283,10200.0,45000.0,55200.0
0.5,30,12,164,287,9000.0,60000.0,69000.0
0.55,26,15,161,291,7800.0,75000.0,82800.0
0.6,22,19,157,295,6600.0,95000.0,101600.0
0.65,17,22,154,300,5100.0,110000.0,115100.0
0.7,15,23,153,302,4500.0,115000.0,119500.0
0.75,12,29,147,305,3600.0,145000.0,148600.0
0.8,11,38,138,306,3300.0,190000.0,193300.0
0.85,9,49,127,308,2700.0,245000.0,247700.0
0.9,2,59,117,315,600.0,295000.0,295600.0
0.95,0,73,103,317,0.0,365000.0,365000.0
