Customer_ID,Churn_Probability,Risk_Score,Risk_Level,Recommended_Action
CUST_11757,0.984,98.4,High,Priority retention outreach and contract renewal incentive
CUST_12388,0.6439,64.4,High,Priority retention outreach and contract renewal incentive
CUST_12073,0.0062,0.6,Low,Standard loyalty engagement and service maintenance
CUST_11598,0.0194,1.9,Low,Standard loyalty engagement and service maintenance
CUST_10288,0.4901,49.0,Low,Monitor usage patterns and deploy targeted value engagement
CUST_12334,0.1238,12.4,High,Priority retention outreach and contract renewal incentive
CUST_10307,0.3078,30.8,Low,Monitor usage patterns and deploy targeted value engagement
CUST_11889,0.004,0.4,Low,Standard loyalty engagement and service maintenance
CUST_11357,0.9612,96.1,Low,Priority retention outreach and contract renewal incentive
CUST_10345,0.9998,100.0,Low,Priority retention outreach and contract renewal incentive
CUST_11969,0.3257,32.6,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10306,0.2586,25.9,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11134,0.9804,98.0,High,Priority retention outreach and contract renewal incentive
CUST_11958,0.1121,11.2,Low,Standard loyalty engagement and service maintenance
CUST_10458,0.8851,88.5,Medium,Priority retention outreach and contract renewal incentive
CUST_11259,0.0,0.0,High,Priority retention outreach and contract renewal incentive
CUST_11225,0.0135,1.4,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10545,0.9999,100.0,Medium,Priority retention outreach and contract renewal incentive
CUST_11631,0.0012,0.1,Low,Standard loyalty engagement and service maintenance
CUST_10421,0.0195,2.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10842,0.0021,0.2,High,Priority retention outreach and contract renewal incentive
CUST_10969,0.064,6.4,High,Priority retention outreach and contract renewal incentive
CUST_10334,0.0,0.0,High,Priority retention outreach and contract renewal incentive
CUST_10599,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11019,0.9992,99.9,Low,Priority retention outreach and contract renewal incentive
CUST_11369,0.9962,99.6,Low,Priority retention outreach and contract renewal incentive
CUST_10097,0.8115,81.2,High,Priority retention outreach and contract renewal incentive
CUST_11444,0.0138,1.4,Low,Standard loyalty engagement and service maintenance
CUST_11352,0.9982,99.8,High,Priority retention outreach and contract renewal incentive
CUST_12413,0.9921,99.2,Low,Priority retention outreach and contract renewal incentive
CUST_10252,0.5632,56.3,High,Priority retention outreach and contract renewal incentive
CUST_12404,0.0234,2.3,High,Priority retention outreach and contract renewal incentive
CUST_12370,0.0193,1.9,High,Priority retention outreach and contract renewal incentive
CUST_11992,0.0927,9.3,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11265,0.9725,97.2,Low,Priority retention outreach and contract renewal incentive
CUST_10596,0.9333,93.3,Low,Priority retention outreach and contract renewal incentive
CUST_12323,0.093,9.3,Low,Standard loyalty engagement and service maintenance
CUST_12358,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10660,0.5829,58.3,High,Priority retention outreach and contract renewal incentive
CUST_12139,0.0117,1.2,Low,Standard loyalty engagement and service maintenance
CUST_11706,0.0029,0.3,Low,Standard loyalty engagement and service maintenance
CUST_10731,0.0,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12360,0.2102,21.0,Low,Standard loyalty engagement and service maintenance
CUST_11186,0.0005,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10694,0.0001,0.0,High,Priority retention outreach and contract renewal incentive
CUST_10305,0.0353,3.5,Low,Standard loyalty engagement and service maintenance
CUST_12125,0.855,85.5,Low,Priority retention outreach and contract renewal incentive
CUST_12493,0.6477,64.8,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10136,0.0701,7.0,Low,Standard loyalty engagement and service maintenance
CUST_10327,0.1111,11.1,Low,Standard loyalty engagement and service maintenance
CUST_10739,0.8722,87.2,Low,Priority retention outreach and contract renewal incentive
CUST_11390,0.0624,6.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10612,0.0053,0.5,High,Priority retention outreach and contract renewal incentive
CUST_10791,0.0,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10452,0.0009,0.1,Low,Standard loyalty engagement and service maintenance
CUST_11717,0.9962,99.6,Low,Priority retention outreach and contract renewal incentive
CUST_11602,0.9964,99.6,Low,Priority retention outreach and contract renewal incentive
CUST_11939,0.982,98.2,Medium,Priority retention outreach and contract renewal incentive
CUST_10943,0.5395,54.0,High,Priority retention outreach and contract renewal incentive
CUST_11253,0.0001,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10074,0.9896,99.0,Medium,Priority retention outreach and contract renewal incentive
CUST_10987,0.0007,0.1,Low,Standard loyalty engagement and service maintenance
CUST_12430,0.5771,57.7,High,Priority retention outreach and contract renewal incentive
CUST_10298,0.8667,86.7,High,Priority retention outreach and contract renewal incentive
CUST_11097,0.2414,24.1,Low,Standard loyalty engagement and service maintenance
CUST_11340,0.9958,99.6,High,Priority retention outreach and contract renewal incentive
CUST_11979,0.0049,0.5,Low,Standard loyalty engagement and service maintenance
CUST_12250,0.8322,83.2,Low,Priority retention outreach and contract renewal incentive
CUST_10058,0.1705,17.0,High,Priority retention outreach and contract renewal incentive
CUST_12349,0.0625,6.3,High,Priority retention outreach and contract renewal incentive
CUST_10313,0.0031,0.3,Low,Standard loyalty engagement and service maintenance
CUST_10342,0.0031,0.3,High,Priority retention outreach and contract renewal incentive
CUST_12251,0.0091,0.9,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12263,0.001,0.1,Low,Standard loyalty engagement and service maintenance
CUST_12101,0.2508,25.1,High,Priority retention outreach and contract renewal incentive
CUST_11638,0.0599,6.0,Low,Standard loyalty engagement and service maintenance
CUST_10813,0.0005,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11337,0.4479,44.8,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10978,0.9538,95.4,Low,Priority retention outreach and contract renewal incentive
CUST_11203,0.0318,3.2,Low,Standard loyalty engagement and service maintenance
CUST_10617,0.1054,10.5,Low,Standard loyalty engagement and service maintenance
CUST_12081,0.0105,1.1,Low,Standard loyalty engagement and service maintenance
CUST_11715,0.0005,0.1,High,Priority retention outreach and contract renewal incentive
CUST_12153,0.8781,87.8,Medium,Priority retention outreach and contract renewal incentive
CUST_10139,0.9695,96.9,High,Priority retention outreach and contract renewal incentive
CUST_12099,0.3574,35.7,Low,Monitor usage patterns and deploy targeted value engagement
CUST_11842,0.0001,0.0,High,Priority retention outreach and contract renewal incentive
CUST_12432,0.0007,0.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10354,0.9591,95.9,Low,Priority retention outreach and contract renewal incentive
CUST_10856,0.6903,69.0,High,Priority retention outreach and contract renewal incentive
CUST_11653,0.9984,99.8,High,Priority retention outreach and contract renewal incentive
CUST_10105,0.0219,2.2,Low,Standard loyalty engagement and service maintenance
CUST_10265,0.8425,84.3,High,Priority retention outreach and contract renewal incentive
CUST_11612,0.2051,20.5,Low,Standard loyalty engagement and service maintenance
CUST_10834,0.9989,99.9,Low,Priority retention outreach and contract renewal incentive
CUST_10286,0.1309,13.1,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10459,0.9443,94.4,Medium,Priority retention outreach and contract renewal incentive
CUST_11785,0.1518,15.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11720,0.7949,79.5,High,Priority retention outreach and contract renewal incentive
CUST_11737,0.0124,1.2,High,Priority retention outreach and contract renewal incentive
CUST_12017,0.9977,99.8,Low,Priority retention outreach and contract renewal incentive
CUST_11062,0.6279,62.8,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10020,0.6741,67.4,Low,Priority retention outreach and contract renewal incentive
CUST_11223,0.0008,0.1,Low,Standard loyalty engagement and service maintenance
CUST_11154,0.35,35.0,High,Priority retention outreach and contract renewal incentive
CUST_10215,0.9101,91.0,Low,Priority retention outreach and contract renewal incentive
CUST_10376,0.9946,99.5,High,Priority retention outreach and contract renewal incentive
CUST_11980,0.9515,95.1,Low,Priority retention outreach and contract renewal incentive
CUST_10351,0.9919,99.2,Medium,Priority retention outreach and contract renewal incentive
CUST_11780,0.0048,0.5,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10522,0.0008,0.1,Low,Standard loyalty engagement and service maintenance
CUST_10629,0.8088,80.9,Medium,Priority retention outreach and contract renewal incentive
CUST_11018,0.015,1.5,Low,Standard loyalty engagement and service maintenance
CUST_12261,0.0011,0.1,Low,Standard loyalty engagement and service maintenance
CUST_11962,0.9998,100.0,Low,Priority retention outreach and contract renewal incentive
CUST_10976,0.1155,11.5,High,Priority retention outreach and contract renewal incentive
CUST_10223,0.7931,79.3,Medium,Priority retention outreach and contract renewal incentive
CUST_12191,0.9999,100.0,Low,Priority retention outreach and contract renewal incentive
CUST_12280,0.0496,5.0,High,Priority retention outreach and contract renewal incentive
CUST_10062,0.7183,71.8,Low,Priority retention outreach and contract renewal incentive
CUST_10639,0.8068,80.7,High,Priority retention outreach and contract renewal incentive
CUST_11109,0.9606,96.1,Medium,Priority retention outreach and contract renewal incentive
CUST_10912,0.9833,98.3,High,Priority retention outreach and contract renewal incentive
CUST_10605,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_11172,0.962,96.2,High,Priority retention outreach and contract renewal incentive
CUST_11351,0.9966,99.7,High,Priority retention outreach and contract renewal incentive
CUST_11803,0.0295,3.0,Low,Standard loyalty engagement and service maintenance
CUST_11942,0.0071,0.7,Low,Standard loyalty engagement and service maintenance
CUST_11422,0.0,0.0,Low,Standard loyalty engagement and service maintenance
CUST_10492,0.0133,1.3,High,Priority retention outreach and contract renewal incentive
CUST_10226,0.0302,3.0,Low,Standard loyalty engagement and service maintenance
CUST_10544,0.0007,0.1,Low,Standard loyalty engagement and service maintenance
CUST_10792,0.9325,93.2,Medium,Priority retention outreach and contract renewal incentive
CUST_10191,0.0908,9.1,Low,Standard loyalty engagement and service maintenance
CUST_10938,0.0011,0.1,Low,Standard loyalty engagement and service maintenance
CUST_12166,0.076,7.6,Low,Standard loyalty engagement and service maintenance
CUST_11237,0.007,0.7,Low,Standard loyalty engagement and service maintenance
CUST_12328,0.7958,79.6,Medium,Priority retention outreach and contract renewal incentive
CUST_11740,0.3706,37.1,High,Priority retention outreach and contract renewal incentive
CUST_11135,0.7971,79.7,Medium,Priority retention outreach and contract renewal incentive
CUST_10869,0.0075,0.7,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10793,0.0864,8.6,High,Priority retention outreach and contract renewal incentive
CUST_12033,0.0052,0.5,Low,Standard loyalty engagement and service maintenance
CUST_10989,0.0003,0.0,Low,Standard loyalty engagement and service maintenance
CUST_12123,0.0269,2.7,High,Priority retention outreach and contract renewal incentive
CUST_12242,0.9926,99.3,Low,Priority retention outreach and contract renewal incentive
CUST_10886,0.7816,78.2,Low,Priority retention outreach and contract renewal incentive
CUST_10714,0.0012,0.1,Low,Standard loyalty engagement and service maintenance
CUST_11575,0.0001,0.0,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_12438,0.8988,89.9,Medium,Priority retention outreach and contract renewal incentive
CUST_11315,0.8746,87.5,High,Priority retention outreach and contract renewal incentive
CUST_10963,0.389,38.9,Low,Monitor usage patterns and deploy targeted value engagement
CUST_10352,0.0005,0.1,High,Priority retention outreach and contract renewal incentive
CUST_10891,0.8535,85.4,High,Priority retention outreach and contract renewal incentive
CUST_11917,0.0436,4.4,Low,Standard loyalty engagement and service maintenance
CUST_11484,0.0074,0.7,Low,Standard loyalty engagement and service maintenance
CUST_10003,0.7345,73.5,Low,Priority retention outreach and contract renewal incentive
CUST_12214,0.0007,0.1,High,Priority retention outreach and contract renewal incentive
CUST_11063,0.2144,21.4,High,Priority retention outreach and contract renewal incentive
CUST_10808,0.9883,98.8,Medium,Priority retention outreach and contract renewal incentive
CUST_12042,0.204,20.4,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10012,0.0066,0.7,Low,Standard loyalty engagement and service maintenance
CUST_11637,0.0385,3.8,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_11921,0.3057,30.6,High,Priority retention outreach and contract renewal incentive
CUST_11487,0.1054,10.5,Low,Standard loyalty engagement and service maintenance
CUST_11856,0.0073,0.7,High,Priority retention outreach and contract renewal incentive
CUST_10349,0.0015,0.2,Low,Standard loyalty engagement and service maintenance
CUST_12492,0.9997,100.0,Low,Priority retention outreach and contract renewal incentive
CUST_10764,0.1302,13.0,Low,Standard loyalty engagement and service maintenance
CUST_11570,0.232,23.2,Medium,Monitor usage patterns and deploy targeted value engagement
CUST_10297,1.0,100.0,Medium,Priority retention outreach and contract renewal incentive
CUST_12419,0.0034,0.3,Low,Standard loyalty engagement and service maintenance
CUST_10688,0.9334,93.3,High,Priority retention outreach and contract renewal incentive
CUST_11356,0.0,0.0,Low,Standard loyalty engagement and service maintenance
