Threshold,Accuracy,Precision,Recall,F1_Score
0.05,0.7505,0.5886,1.0,0.7411
0.1,0.8215,0.6667,1.0,0.8
0.15,0.856,0.7126,1.0,0.8322
0.2,0.8682,0.7322,0.9943,0.8434
0.25,0.8864,0.7655,0.983,0.8607
0.3,0.8986,0.7864,0.983,0.8737
0.35,0.9006,0.7981,0.9659,0.874
0.4,0.9087,0.8195,0.9545,0.8819
0.45,0.9128,0.8308,0.9489,0.8859
0.5,0.9148,0.8454,0.9318,0.8865
0.55,0.9168,0.861,0.9148,0.8871
0.6,0.9168,0.8771,0.892,0.8845
0.65,0.9209,0.9006,0.875,0.8876
0.7,0.9229,0.9107,0.8693,0.8895
0.75,0.9168,0.9245,0.8352,0.8776
0.8,0.9006,0.9262,0.7841,0.8492
0.85,0.8824,0.9338,0.7216,0.8141
0.9,0.8763,0.9832,0.6648,0.7932
0.95,0.8519,1.0,0.5852,0.7384
