Threshold,FP,FN,TP,TN,Total_Cost
0.05,37,4,122,332,31100.0
0.1,13,5,121,356,28900.0
0.15,13,5,121,356,28900.0
0.2,13,5,121,356,28900.0
0.25,12,5,121,357,28600.0
0.3,12,5,121,357,28600.0
0.35,12,8,118,357,43600.0
0.4,12,8,118,357,43600.0
0.45,12,8,118,357,43600.0
0.5,12,8,118,357,43600.0
0.55,12,8,118,357,43600.0
0.6,12,8,118,357,43600.0
0.65,11,8,118,358,43300.0
0.7,11,8,118,358,43300.0
0.75,10,9,117,359,48000.0
0.8,10,9,117,359,48000.0
0.85,5,41,85,364,206500.0
0.9,5,41,85,364,206500.0
0.95,5,51,75,364,256500.0
