Feature,Importance_Mean,Importance_Std
Contract_Type,0.4317189903032258,0.03406114337138937
Tenure_Months,0.35680657780370806,0.02765561875989963
Monthly_Charges,0.08924558705002325,0.012658519521975392
Support_Calls,0.08241307462557804,0.010923273632707774
Complaints,0.062073388905206625,0.00999823429975644
Net_Monthly_Charges,0.042719838372021667,0.01162504176255805
Late_Payments,0.036421669055822614,0.007335948905121097
Complaint_Risk_Index,0.002143927557351699,0.003265859361295437
Gender,0.0,0.0
Customer_ID,0.0,0.0
Age,0.0,0.0
Charges_Per_Month_Ratio,0.0,0.0
Internet_Service,0.0,0.0
Total_Charges,0.0,0.0
Usage_Hours,0.0,0.0
Support_Per_Tenure,0.0,0.0
Discount,0.0,0.0
Tenure_Age_Ratio,0.0,0.0
Payment_Method,-0.0025306372549019907,0.001656690968151947
