Age,Tenure_Months,Monthly_Charges,Total_Charges,Support_Calls,Late_Payments,Usage_Hours,Discount,Complaints,Tenure_to_Age_Ratio,Charges_Deviation,Support_Per_Month,Gender,Contract_Type,Internet_Service,Payment_Method,Churn
58.0,12,69.26,804.63,2,2,164.8,5.0,1,0.2068965160523248,2.207555877036768,0.16666652777789354,Female,One year,Fiber optic,Electronic check,0
46.0,5,78.45,399.23,2,3,160.0,0.0,0,0.10869562854442857,-1.3958403083193929,0.39999920000160005,Male,Two year,Fiber optic,Electronic check,0
39.0,7,28.44,193.36,5,1,136.8,0.0,2,0.17948713346483755,0.817182318310973,0.7142846938790088,Male,Month-to-month,No,Bank transfer (automatic),1
58.0,5,23.34,112.59,1,2,10.0,0.0,2,0.08620688168846867,0.8220450359099267,0.19999960000080003,Male,Two year,No,Electronic check,0
41.0,2,89.11,187.11,0,1,163.0,0.0,0,0.04878047590720099,-4.444532227338868,0.0,Female,Two year,Fiber optic,Mailed check,0
38.0,20,54.37,1052.08,3,0,116.3,10.0,0,0.5263156509695655,1.766026301986848,0.1499999250000375,Female,Month-to-month,Fiber optic,Mailed check,0
68.0,33,48.88,1596.91,0,0,68.4,5.0,0,0.4852940462802873,0.48880254278711277,0.0,Female,Two year,DSL,Bank transfer (automatic),0
64.0,2,93.63,186.63,2,0,120.6,0.0,0,0.03124999511718826,0.31546657266713396,0.9999950000249999,Male,One year,Fiber optic,Bank transfer (automatic),0
18.0,14,59.4,847.88,2,1,138.5,0.0,0,0.7777773456792524,-1.1628138837043736,0.1428570408163994,Female,Two year,Fiber optic,Bank transfer (automatic),0
21.0,47,82.48,4069.42,6,1,112.5,10.0,0,2.2380941723361083,-4.10338583332215,0.1276595473064793,Male,Month-to-month,Fiber optic,Mailed check,1
51.0,72,75.0,5624.34,2,1,119.9,0.0,1,1.4117644290657982,-3.115822483913547,0.027777773919753623,Female,Month-to-month,Fiber optic,Electronic check,0
70.0,11,48.04,522.1,1,0,175.6,15.0,2,0.15714283469388074,0.5764067850847354,0.09090900826453795,Male,Month-to-month,DSL,Bank transfer (automatic),1
73.0,43,85.87,3648.51,1,0,167.5,0.0,1,0.5890410151998609,1.0209499648953653,0.0232558085451608,Male,Two year,Fiber optic,Credit card (automatic),0
73.0,12,87.68,1019.13,0,0,134.6,0.0,0,0.16438353912554257,2.7525707728576947,0.0,Female,Two year,Fiber optic,Electronic check,0
29.0,19,112.29,2139.4,4,2,112.3,0.0,1,0.6551721878716593,-0.30994073687330115,0.21052620498620792,Female,Month-to-month,Fiber optic,Bank transfer (automatic),1
60.0,7,83.54,564.53,3,0,235.4,10.0,0,0.11666664722222546,2.892972352896649,0.4285708163274053,Female,Month-to-month,Fiber optic,Electronic check,1
56.0,68,77.86,5121.42,1,2,165.1,0.0,0,1.2142854974490183,2.545011075733669,0.014705880190311736,Male,One year,Fiber optic,Bank transfer (automatic),0
