Feature,Importance,Std
Contract_Type_One year,0.19613044151181863,0.04616534067609218
Contract_Type_Two year,0.16245179090971604,0.049619725142792837
Tenure_Months,0.14836760165663676,0.10941360088595108
Support_Calls,0.08449011202308589,0.039416142738710164
Tenure_to_Age_Ratio,0.08376736101585534,0.09126458735895875
Total_Charges,0.0778555351685248,0.08043322366308693
Support_Per_Month,0.06823341658666897,0.06189448262358074
Complaints,0.04168224917948629,0.016908255597486255
Monthly_Charges,0.03213396503696315,0.01745749528873311
Usage_Hours,0.02212651548942051,0.010705243077566543
Charges_Deviation,0.02127757056225242,0.011912442915908483
Age,0.019715627458599703,0.010877888201367435
Late_Payments,0.013054783799052554,0.00986282194757254
Discount,0.006893268047203031,0.0052979405349414125
Internet_Service_Fiber optic,0.006433333465095423,0.008867143713183465
Payment_Method_Electronic check,0.004412601965897522,0.004003238293650605
Gender_Male,0.0033126524485421675,0.0036979678490168667
Payment_Method_Mailed check,0.0033110575437344998,0.003678762383190104
Internet_Service_No,0.0019992533107633863,0.003174417178877415
Payment_Method_Credit card (automatic),0.0019196970655721982,0.002333289386213292
Contract_Type_month-to-month,0.0004311657551107122,0.0011844250658520983
