Feature,Mean_Importance,Std_Importance
Contract_Type,0.4341708313236955,0.03204701266763751
Tenure_Months,0.27018144609533656,0.030729314894803527
Support_Calls,0.08439259391998431,0.007869913050343144
Complaints,0.04269560692423648,0.008407541117228896
Late_Payments,0.017917199884367165,0.008376807403844002
Monthly_Charges,0.006585532900313518,0.002719200941388036
Support_Per_Month,0.005452293047262713,0.005645827272561924
Tenure_to_Age_Ratio,0.003512678581308748,0.0031559245656570646
Payment_Method,0.0034100278287842343,0.003192858561713657
Gender,0.0033042158792650823,0.001972946896132985
Internet_Service,0.00299766000796593,0.003683224732446244
Discount,0.0018899712634734777,0.0018958403082583574
Usage_Hours,0.0011167352158701015,0.003514536539227286
Age,0.000806893623591165,0.002570726765235733
Charges_Deviation,0.0,0.0
Total_Charges,-0.0005378280284134562,0.003501378649233032
