Threshold,FP,FN,Total_Cost,Avg_Cost
0.05,52,0,15600.0,31.2
0.06,52,0,15600.0,31.2
0.07,52,0,15600.0,31.2
0.08,52,0,15600.0,31.2
0.09,52,0,15600.0,31.2
0.09999999999999999,52,0,15600.0,31.2
0.10999999999999999,52,0,15600.0,31.2
0.12,52,0,15600.0,31.2
0.13,52,0,15600.0,31.2
0.13999999999999999,52,0,15600.0,31.2
0.14999999999999997,52,0,15600.0,31.2
0.15999999999999998,52,0,15600.0,31.2
0.16999999999999998,52,0,15600.0,31.2
0.18,21,3,12300.0,24.6
0.19,21,3,12300.0,24.6
0.19999999999999996,21,3,12300.0,24.6
0.20999999999999996,21,3,12300.0,24.6
0.21999999999999997,21,3,12300.0,24.6
0.22999999999999998,21,3,12300.0,24.6
0.24,21,3,12300.0,24.6
0.24999999999999994,21,3,12300.0,24.6
0.25999999999999995,21,3,12300.0,24.6
0.26999999999999996,21,3,12300.0,24.6
0.27999999999999997,21,3,12300.0,24.6
0.29,21,3,12300.0,24.6
0.3,21,3,12300.0,24.6
0.30999999999999994,21,3,12300.0,24.6
0.31999999999999995,21,3,12300.0,24.6
0.32999999999999996,21,3,12300.0,24.6
0.33999999999999997,21,3,12300.0,24.6
0.3499999999999999,21,3,12300.0,24.6
0.35999999999999993,21,3,12300.0,24.6
0.36999999999999994,21,3,12300.0,24.6
0.37999999999999995,18,3,11400.0,22.8
0.38999999999999996,18,3,11400.0,22.8
0.3999999999999999,18,3,11400.0,22.8
0.4099999999999999,18,3,11400.0,22.8
0.41999999999999993,18,3,11400.0,22.8
0.42999999999999994,13,3,9900.0,19.8
0.43999999999999995,13,3,9900.0,19.8
0.4499999999999999,13,3,9900.0,19.8
0.4599999999999999,13,3,9900.0,19.8
0.4699999999999999,13,3,9900.0,19.8
0.4799999999999999,13,3,9900.0,19.8
0.48999999999999994,13,3,9900.0,19.8
0.49999999999999994,13,3,9900.0,19.8
0.5099999999999999,13,3,9900.0,19.8
0.5199999999999999,13,3,9900.0,19.8
0.5299999999999999,13,3,9900.0,19.8
0.5399999999999999,13,3,9900.0,19.8
0.5499999999999999,13,3,9900.0,19.8
0.5599999999999999,13,3,9900.0,19.8
0.57,13,3,9900.0,19.8
0.58,13,3,9900.0,19.8
0.59,13,3,9900.0,19.8
0.6,13,3,9900.0,19.8
0.61,13,3,9900.0,19.8
0.62,13,3,9900.0,19.8
0.63,13,3,9900.0,19.8
0.6399999999999999,13,3,9900.0,19.8
0.6499999999999999,13,3,9900.0,19.8
0.6599999999999999,13,3,9900.0,19.8
0.6699999999999999,13,3,9900.0,19.8
0.6799999999999999,13,3,9900.0,19.8
0.69,13,5,13900.0,27.8
0.7,13,5,13900.0,27.8
0.71,13,5,13900.0,27.8
0.72,13,5,13900.0,27.8
0.73,13,5,13900.0,27.8
0.74,13,5,13900.0,27.8
0.7499999999999999,9,7,16700.0,33.4
0.7599999999999999,9,7,16700.0,33.4
0.7699999999999999,9,7,16700.0,33.4
0.7799999999999999,9,7,16700.0,33.4
0.7899999999999999,9,7,16700.0,33.4
0.7999999999999999,8,8,18400.0,36.8
0.8099999999999999,8,8,18400.0,36.8
0.82,8,8,18400.0,36.8
0.83,8,8,18400.0,36.8
0.84,8,8,18400.0,36.8
0.8499999999999999,8,8,18400.0,36.8
0.8599999999999999,8,8,18400.0,36.8
0.8699999999999999,8,8,18400.0,36.8
0.8799999999999999,8,8,18400.0,36.8
0.8899999999999999,8,8,18400.0,36.8
0.8999999999999999,8,8,18400.0,36.8
0.9099999999999999,8,8,18400.0,36.8
0.9199999999999999,8,8,18400.0,36.8
0.9299999999999999,8,8,18400.0,36.8
0.94,2,53,106600.0,213.2
0.95,2,53,106600.0,213.2
