Feature,Importance,Std
Tenure_Months,0.23181077832511218,0.10573667711240367
Contract_Type_One year,0.21866277680736562,0.05663427200612369
Contract_Type_Two year,0.18497374194450497,0.0550731314927148
Support_Calls,0.10430852849796127,0.042135022708459244
Total_Charges,0.10317566270884376,0.0950217529532147
Complaints,0.047839470364083814,0.02231631504038971
Monthly_Charges,0.03312178979702908,0.01758716825748509
Usage_Hours,0.020076360826359566,0.01173214375739164
Age,0.015249828244309059,0.010560690717652489
Late_Payments,0.015109520167875805,0.01144586725614875
Internet_Service_Fiber optic,0.006214381369737247,0.00712263386671326
Discount,0.0055329860955614756,0.005040858869903957
Payment_Method_Electronic check,0.003908429329345771,0.003784659854868791
Gender_Male,0.003423050955139102,0.004398470021303411
Payment_Method_Mailed check,0.002737929034169604,0.003532540098726094
Payment_Method_Credit card (automatic),0.0017721496913611948,0.002374968923268384
Internet_Service_No,0.001583185579696879,0.003444999685138944
Contract_Type_month-to-month,0.0004994302615437226,0.001634390511861932
