Feature,Mean_Importance,Std_Importance
Contract_Type,0.23582887700534752,0.02017755443046095
Tenure_Months,0.09393302775655712,0.016210465787850112
Support_Calls,0.03736100500806379,0.003048615118695641
Complaints,0.017825311942958964,0.002591800139671528
Monthly_Charges,0.005559799677446709,0.0016198985428014553
Late_Payments,0.002172990408284492,0.0008103494769450707
Internet_Service,0.0018780239368474173,0.0005462606961450032
Usage_Hours,0.0008742891095831484,0.0006875477463712922
Gender,0.0007596978185212988,0.00039126568691946485
Payment_Method,0.0004986843222136827,0.0008656474188748901
Discount,-0.0013241660300484348,0.0007281607164509003
Total_Charges,-0.0013899499193617548,0.002858932777517596
Age,-0.0015533486121722228,0.0005752155333881542
