iter	Passed	Remaining
0	147	14596
1	153	7508
2	158	5138
3	164	3939
4	169	3218
5	175	2745
6	181	2412
7	189	2182
8	196	1982
9	202	1823
10	208	1687
11	214	1574
12	220	1478
13	227	1398
14	233	1324
15	239	1259
16	245	1200
17	251	1147
18	258	1100
19	264	1056
20	270	1018221	276	981222	282	947223	289	915224	295	885225	301	858226	307	832227	314	807228	320	784229	326	761330	332	739331	337	718332	343	698333	348	676334	355	661335	360	641336	367	625337	375	612338	381	596339	388	582440	394	567441	400	553442	407	539443	413	526444	419	512
45	425	500
46	432	487
47	438	474
48	444	462
49	451	451
50	457	439
51	462	427
52	467	414
53	473	403
54	479	392
55	486	381
56	492	371
57	498	360
58	504	350
59	511	340
60	517	330
61	523	320
62	529	310
63	535	301
64	541	291
65	547	282
66	553	272
67	560	263
68	566	254
69	572	245
70	578	236
71	584	227
72	590	218
73	596	209
74	602	200
75	608	192
76	614	183
77	619	174
78	626	166
79	632	158
80	637	149881	643	141882	649	132883	654	124884	660	116885	665	108886	672	108787	677	98888	684	88989	690	79090	697	69191	702	69292	709	59393	715	49494	721	39595	727	39696	734	29797	740	19898	746	9999	752	0
